Element No.;Member;FE Nodes No.;;
;No.;1;2;
1;1;1;82;
2;1;82;90;
3;1;90;108;
4;1;108;135;
5;1;135;356;
6;1;356;366;
7;1;366;607;
8;1;607;2;
9;2;2;615;
10;2;615;623;
11;2;623;631;
12;2;631;662;
13;2;662;688;
14;2;688;721;
15;2;721;738;
16;2;738;139;
17;3;3;748;
18;3;748;768;
19;3;768;799;
20;3;799;788;
21;3;788;758;
22;3;758;778;
23;3;778;798;
24;3;798;142;
25;4;4;809;
26;4;809;928;
27;4;928;938;
28;4;938;957;
29;4;957;1025;
30;4;1025;976;
31;4;976;995;
32;4;995;156;
33;5;5;1014;
34;5;1014;1024;
35;5;1024;1146;
36;5;1146;1156;
37;5;1156;107;
38;5;107;1175;
39;5;1175;1243;
40;5;1243;153;
41;6;7;1591;
42;6;1591;1601;
43;6;1601;1620;
44;6;1620;1688;
45;6;1688;1194;
46;6;1194;1213;
47;6;1213;1232;
48;6;1232;6;
49;7;8;1242;
50;7;1242;56;
51;7;56;1621;
52;7;1621;1640;
53;7;1640;1659;
54;7;1659;1669;
55;7;1669;61;
56;7;61;1364;
57;7;1364;157;
58;7;157;3;
59;8;9;1374;
60;8;1374;1393;
61;8;1393;1461;
62;8;1461;1412;
63;8;1412;1431;
64;8;1431;1450;
65;8;1450;70;
66;8;70;1460;
67;8;1460;1782;
68;8;1782;158;
69;8;158;4;
70;9;10;1783;
71;9;1783;75;
72;9;75;1784;
73;9;1784;77;
74;9;77;78;
75;9;78;79;
76;9;79;80;
77;9;80;81;
78;9;81;159;
79;9;159;5;
80;10;11;1785;
81;10;1785;1786;
82;10;1786;1787;
83;10;1787;1788;
84;10;1788;1789;
85;10;1789;88;
86;10;88;1790;
87;10;1790;12;
88;11;12;91;
89;11;91;92;
90;11;92;93;
91;11;93;94;
92;11;94;1791;
93;11;1791;1792;
94;11;1792;1793;
95;11;1793;111;
96;12;13;1794;
97;12;1794;101;
98;12;101;102;
99;12;102;103;
100;12;103;104;
101;12;104;105;
102;12;105;106;
103;12;106;114;
104;13;14;109;
105;13;109;110;
106;13;110;1795;
107;13;1795;1796;
108;13;1796;1797;
109;13;1797;1798;
110;13;1798;1799;
111;13;1799;128;
112;14;15;1800;
113;14;1800;1801;
114;14;1801;1802;
115;14;1802;1803;
116;14;1803;1804;
117;14;1804;1805;
118;14;1805;1806;
119;14;1806;125;
120;15;17;1807;
121;15;1807;1808;
122;15;1808;1809;
123;15;1809;1810;
124;15;1810;1811;
125;15;1811;1812;
126;15;1812;1813;
127;15;1813;16;
128;16;18;136;
129;16;136;137;
130;16;137;138;
131;16;138;1814;
132;16;1814;1815;
133;16;1815;1816;
134;16;1816;1817;
135;16;1817;19;
136;17;19;144;
137;17;144;1818;
138;17;1818;146;
139;17;146;147;
140;17;147;148;
141;17;148;149;
142;17;149;150;
143;17;150;83;
144;18;20;1819;
145;18;1819;1820;
146;18;1820;1821;
147;18;1821;1822;
148;18;1822;1823;
149;18;1823;1824;
150;18;1824;1825;
151;18;1825;86;
152;19;21;1826;
153;19;1826;1827;
154;19;1827;1828;
155;19;1828;1829;
156;19;1829;1830;
157;19;1830;1831;
158;19;1831;1832;
159;19;1832;100;
160;20;22;1833;
161;20;1833;1834;
162;20;1834;1835;
163;20;1835;1836;
164;20;1836;1837;
165;20;1837;1838;
166;20;1838;1839;
167;20;1839;97;
168;21;24;1840;
169;21;1840;1841;
170;21;1841;1842;
171;21;1842;1843;
172;21;1843;1844;
173;21;1844;1845;
174;21;1845;1846;
175;21;1846;23;
176;22;25;1847;
177;22;1847;1848;
178;22;1848;1849;
179;22;1849;1850;
180;22;1850;1851;
181;22;1851;1852;
182;22;1852;1853;
183;22;1853;26;
184;23;26;1854;
185;23;1854;1855;
186;23;1855;1856;
187;23;1856;1857;
188;23;1857;1858;
189;23;1858;1859;
190;23;1859;1860;
191;23;1860;55;
192;24;27;1861;
193;24;1861;1862;
194;24;1862;1863;
195;24;1863;1864;
196;24;1864;1865;
197;24;1865;1866;
198;24;1866;1867;
199;24;1867;59;
200;25;28;1868;
201;25;1868;1869;
202;25;1869;1870;
203;25;1870;1871;
204;25;1871;1872;
205;25;1872;1873;
206;25;1873;1874;
207;25;1874;76;
208;26;29;1875;
209;26;1875;1876;
210;26;1876;1877;
211;26;1877;1878;
212;26;1878;1879;
213;26;1879;1880;
214;26;1880;1881;
215;26;1881;72;
216;27;31;1882;
217;27;1882;1883;
218;27;1883;1884;
219;27;1884;1885;
220;27;1885;1886;
221;27;1886;1887;
222;27;1887;1888;
223;27;1888;30;
224;28;32;1889;
225;28;1889;1890;
226;28;1890;1891;
227;28;1891;1892;
228;28;1892;1893;
229;28;1893;1894;
230;28;1894;1895;
231;28;1895;33;
232;29;33;1896;
233;29;1896;1897;
234;29;1897;1898;
235;29;1898;1899;
236;29;1899;1900;
237;29;1900;1901;
238;29;1901;1902;
239;29;1902;49;
240;30;34;1903;
241;30;1903;1904;
242;30;1904;1905;
243;30;1905;1906;
244;30;1906;1907;
245;30;1907;1908;
246;30;1908;1909;
247;30;1909;54;
248;31;35;1910;
249;31;1910;1911;
250;31;1911;1912;
251;31;1912;1913;
252;31;1913;1914;
253;31;1914;1915;
254;31;1915;1916;
255;31;1916;62;
256;32;36;1917;
257;32;1917;1918;
258;32;1918;1919;
259;32;1919;1920;
260;32;1920;1921;
261;32;1921;1922;
262;32;1922;1923;
263;32;1923;66;
264;33;38;1924;
265;33;1924;1925;
266;33;1925;1926;
267;33;1926;1927;
268;33;1927;1928;
269;33;1928;1929;
270;33;1929;1930;
271;33;1930;37;
272;34;39;1931;
273;34;1931;1932;
274;34;1932;1933;
275;34;1933;1934;
276;34;1934;1935;
277;34;1935;1936;
