Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.000;;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.01;0.7;-0.5;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.01;0.7;-0.5;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-0.01;0.00;-0.01;0.6;-0.6;1.5;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;ε_x;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;ε_x;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xy;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xz;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xz;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;κ_x;-0.01;0.00;-0.02;0.7;-0.4;1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_x;-0.01;0.01;0.00;0.2;-0.6;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_y;-0.01;-0.01;-0.03;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.000;κ_y;-0.01;0.01;0.00;0.4;-0.6;0.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;κ_z;-0.01;0.00;-0.01;0.6;-0.6;1.5;Beam | 2 - HEA 160 | L : 4.000 m
