Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;0.0;0.7;0.0;
2;0.2;-0.2;0.0;0.0;0.0;-1.2;0.0;
3;0.1;0.1;0.0;0.1;-0.1;0.4;0.0;
4;0.1;0.0;0.0;0.1;-0.1;0.0;0.0;
5;0.1;-0.1;0.0;0.1;-0.1;-0.2;0.0;
6;0.2;0.2;0.0;0.0;0.0;1.3;0.0;
7;0.0;0.0;0.0;0.0;0.0;-0.7;0.0;
8;0.0;0.0;0.0;0.0;0.0;-0.4;0.0;
9;0.0;0.0;0.0;0.0;0.0;-0.4;0.0;
10;0.0;0.0;0.0;0.0;0.0;-0.3;0.0;
11;0.0;0.0;0.0;0.0;0.0;1.7;0.0;
12;2.8;-2.8;0.0;0.1;0.0;-1.7;0.0;
13;20.3;-0.8;0.0;20.3;-0.1;-4.3;0.0;
14;32.5;0.3;0.0;32.5;-0.1;0.0;0.0;
15;20.2;1.4;0.0;20.2;-0.1;4.3;0.0;
16;3.3;3.3;0.0;0.1;0.0;1.6;0.0;
17;0.0;0.0;0.0;0.0;0.0;-1.9;0.0;
18;0.0;0.0;0.0;0.0;0.0;1.7;0.0;
19;2.8;-2.8;0.0;0.1;0.0;-1.7;0.0;
20;20.3;-0.8;0.0;20.3;0.0;-4.3;0.0;
21;32.5;0.3;0.0;32.5;0.0;0.0;0.0;
22;20.2;1.4;0.0;20.2;0.0;4.3;0.0;
23;3.3;3.3;0.0;0.1;0.0;1.6;0.0;
24;0.0;0.0;0.0;0.0;0.0;-1.9;0.0;
25;0.0;0.0;0.0;0.0;0.0;1.7;0.0;
26;2.7;-2.7;0.0;0.1;0.0;-1.7;0.0;
27;20.0;-0.8;0.0;20.0;0.0;-4.2;0.0;
28;31.9;0.3;0.0;31.9;0.0;0.0;0.0;
29;19.9;1.4;0.0;19.9;0.0;4.3;0.0;
30;3.3;3.3;0.0;0.1;0.0;1.6;0.0;
31;0.0;0.0;0.0;0.0;0.0;-1.9;0.0;
32;0.0;0.0;0.0;0.0;0.0;1.7;0.0;
33;2.7;-2.7;0.0;0.1;0.0;-1.7;0.0;
34;20.0;-0.8;0.0;20.0;0.0;-4.2;0.0;
35;31.9;0.3;0.0;31.9;0.0;0.0;0.0;
36;19.9;1.4;0.0;19.9;0.0;4.3;0.0;
37;3.3;3.3;0.0;0.1;0.0;1.6;0.0;
38;0.0;0.0;0.0;0.0;0.0;-1.9;0.0;
39;0.0;0.0;0.0;0.0;0.0;0.7;0.0;
40;0.2;-0.2;0.0;0.0;0.0;-1.2;0.0;
41;0.1;0.1;0.0;0.1;0.0;0.4;0.0;
42;0.1;0.0;0.0;0.1;0.0;0.0;0.0;
43;0.1;-0.1;0.0;0.1;0.0;-0.2;0.0;
44;0.2;0.2;0.0;0.0;0.0;1.3;0.0;
45;0.0;0.0;0.0;0.0;0.0;-0.7;0.0;
46;0.0;0.0;0.0;0.0;0.0;-0.4;0.0;
47;0.0;0.0;0.0;0.0;0.0;-0.4;0.0;
48;0.0;0.0;0.0;0.0;0.0;-0.3;0.0;
49;5.5;-2.3;0.0;5.0;0.0;-3.8;0.0;
50;12.3;-1.6;0.0;12.2;0.0;-4.5;0.0;
51;19.7;-0.9;0.0;19.7;0.0;-4.3;0.0;
52;31.9;0.3;0.0;31.9;0.0;-0.1;0.0;
53;30.3;0.1;0.0;30.3;0.0;-1.8;0.0;
54;26.1;-0.3;0.0;26.1;0.0;-3.3;0.0;
55;5.5;-2.3;0.0;5.0;0.0;-3.8;0.0;
57;12.3;-1.6;0.0;12.2;0.0;-4.5;0.0;
58;19.7;-0.9;0.0;19.7;0.0;-4.3;0.0;
59;26.1;-0.3;0.0;26.1;0.0;-3.3;0.0;
60;30.3;0.1;0.0;30.3;0.0;-1.8;0.0;
62;31.9;0.3;0.0;31.9;0.0;0.2;0.0;
63;31.9;0.3;0.0;31.9;0.0;-0.1;0.0;
