Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.01;-0.13;-0.92;0.00;-1.64;0.75;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.01;-0.13;-0.92;0.00;-1.64;0.75;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.93;-0.01;-0.87;0.00;-1.85;0.77;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.500;V_z;-7.40;0.52;-0.68;0.00;-3.16;0.22;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.16;-0.38;-1.03;0.00;-1.15;0.62;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.46;-0.87;-1.26;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.93;-0.01;-0.87;0.00;-1.85;0.77;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-7.25;0.55;-0.69;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.25;0.55;-0.68;0.00;0.00;0.77;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.46;-0.87;-1.26;0.00;-3.51;-0.05;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-0.68;-0.06;4.34;0.02;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-0.72;-0.38;4.74;0.03;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.68;-0.06;4.74;0.03;3.77;0.44;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.72;-0.38;4.34;0.02;-3.72;0.00;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.647;;-2.81;-0.52;5.44;0.01;-2.98;-0.26;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;M_T;-2.81;-0.53;5.45;0.01;-3.29;-0.29;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_T;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-2.79;-0.29;5.59;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-2.84;-0.57;5.21;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-1.63;-0.63;7.29;0.04;-5.02;-0.63;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-1.63;-0.63;7.29;0.04;-5.02;-0.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
