Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;1.56;-3.27;4.92;0.00;0.00;-0.01;
7;;1.20;-1.45;4.17;0.00;0.00;0.00;
8;;3.75;-5.28;4.41;0.00;0.00;0.00;
9;;0.00;-4.80;12.13;0.00;0.00;0.00;
10;;0.00;-3.31;8.14;0.00;0.00;0.00;
11;;-13.44;1.97;33.54;0.00;0.00;0.00;
17;;26.44;1.77;36.15;0.00;0.00;0.00;
18;;-13.49;-1.52;34.80;0.00;0.00;0.00;
24;;26.49;-1.31;37.46;0.00;0.00;0.00;
25;;-12.82;-0.14;32.74;0.00;0.00;0.00;
31;;25.82;-0.15;35.38;0.00;0.00;0.00;
32;;-12.80;-0.14;32.72;0.00;0.00;0.00;
38;;25.80;-0.15;35.36;0.00;0.00;0.00;
39;;1.56;3.23;4.92;0.00;0.00;0.01;
45;;1.20;1.42;4.17;0.00;0.00;0.00;
46;;3.75;5.21;4.41;0.00;0.00;0.00;
47;;0.00;4.70;12.13;0.00;0.00;0.00;
48;;0.00;3.24;8.14;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;26.49;-1.31;37.46;0.00;0.00;0.00;
18;P_x;-13.49;-1.52;34.80;0.00;0.00;0.00;
46;P_y;3.75;5.21;4.41;0.00;0.00;0.00;
8;P_y;3.75;-5.28;4.41;0.00;0.00;0.00;
24;P_z;26.49;-1.31;37.46;0.00;0.00;0.00;
45;P_z;1.20;1.42;4.17;0.00;0.00;0.00;
1;M_x;1.56;-3.27;4.92;0.00;0.00;-0.01;
1;M_x;1.56;-3.27;4.92;0.00;0.00;-0.01;
1;M_y;1.56;-3.27;4.92;0.00;0.00;-0.01;
1;M_y;1.56;-3.27;4.92;0.00;0.00;-0.01;
39;M_z;1.56;3.23;4.92;0.00;0.00;0.01;
1;M_z;1.56;-3.27;4.92;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;65.04;0.00;345.68;Loads;;;
Σ;;65.04;0.00;345.68;Support Forces;;;
