Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.2;0.0;2.6;-1.9;-1.2;0.7;0.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.2;0.0;2.6;-1.9;-1.2;0.7;0.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;3.5;0.0;2.8;-2.0;-1.4;0.4;0.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;3.6;0.0;2.9;-2.1;-1.6;0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;3.6;0.0;2.9;-2.1;-1.6;0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_x;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_y;3.6;0.0;2.9;-2.1;-1.6;0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_z;3.6;0.0;2.9;-2.1;-1.6;0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_x;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_y;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_z;1.5;0.0;1.4;-0.4;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;3.6;0.0;2.9;0.0;0.0;1.5;2.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;0.0;0.0;-2.1;-3.2;-1.7;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;u_x;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_x;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_y;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_y;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_z;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_z;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_x;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_x;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_y;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.495;φ_y;2.8;-0.1;2.6;0.9;-4.4;-1.9;2.9;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_z;1.1;-0.1;1.1;0.0;-1.6;-1.7;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_z;6.1;-0.1;5.4;2.8;-11.0;-1.0;1.7;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;6.1;-0.1;5.4;2.8;-1.6;-1.0;3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.1;-0.1;1.1;0.0;-11.0;-1.9;1.7;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;5.8;0.0;5.7;1.0;1.6;-0.8;0.6;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;u_x;5.8;0.0;5.7;1.0;1.6;-0.8;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;u_x;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_y;5.8;0.0;5.7;1.0;1.6;-0.8;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;u_y;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_z;5.8;0.0;5.7;1.0;1.6;-0.8;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.197;u_z;4.9;0.0;4.9;0.0;9.0;0.1;0.2;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_x;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_x;5.8;0.0;5.7;1.0;1.6;-0.8;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_y;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.260;φ_y;5.6;0.0;5.5;0.7;3.3;-0.9;0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.102;φ_z;5.4;0.0;5.4;0.5;4.1;-0.8;0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_z;4.9;0.0;4.9;0.1;10.1;0.5;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;5.8;0.0;5.7;1.0;10.1;0.5;0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;4.9;0.0;4.9;0.0;1.6;-0.9;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;;
4;4;0.000;;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;156;0.150;u_x;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_x;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_y;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_y;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_z;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_z;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_x;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_x;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_y;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_y;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_z;4.8;0.0;4.8;0.1;3.8;-0.2;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_z;4.8;0.0;4.8;0.1;5.0;0.0;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;4.8;0.0;4.8;0.1;5.0;0.0;-0.3;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;4.8;0.0;4.8;0.1;3.8;-0.2;-0.5;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;;
5;5;0.000;;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.9;0.0;4.8;0.1;8.5;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.9;0.0;4.8;0.1;8.5;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.075 m
