Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-11.04;0.00;-3.15;0.00;0.00;0.00;
8;4;;-14.53;0.00;-2.84;0.00;0.00;0.00;
9;5;;-11.19;0.00;-1.95;0.00;0.00;0.00;
40;41;;-11.04;0.00;3.26;0.00;0.00;0.00;
41;42;;-14.53;0.00;2.98;0.00;0.00;0.00;
42;43;;-11.19;0.00;2.06;0.00;0.00;0.00;
90;55;;0.45;0.30;3.02;0.00;0.00;0.00;
90;49;;0.45;-0.30;-3.02;0.00;0.00;0.00;
92;26;;0.00;0.16;1.58;0.00;0.00;0.00;
92;33;;0.00;-0.16;-1.58;0.00;0.00;0.00;
93;57;;0.26;0.30;3.02;0.00;0.00;0.00;
93;50;;0.26;-0.30;-3.02;0.00;0.00;0.00;
95;58;;1.45;0.30;3.01;0.00;0.00;0.00;
95;51;;1.45;-0.30;-3.01;0.00;0.00;0.00;
97;59;;0.20;0.30;3.02;0.00;0.00;0.00;
97;54;;0.20;-0.30;-3.02;0.00;0.00;0.00;
99;60;;0.22;0.30;3.02;0.00;0.00;0.00;
99;53;;0.22;-0.30;-3.02;0.00;0.00;0.00;
101;83;;0.46;0.30;3.02;0.00;0.00;0.00;
101;55;;0.46;-0.30;-3.02;0.00;0.00;0.00;
102;64;;0.25;0.30;2.99;0.00;0.00;0.00;
102;69;;0.25;-0.30;-2.99;0.00;0.00;0.00;
103;37;;0.00;0.16;1.58;0.00;0.00;0.00;
103;30;;0.00;-0.16;-1.58;0.00;0.00;0.00;
104;65;;0.15;0.30;2.99;0.00;0.00;0.00;
104;71;;0.15;-0.30;-2.99;0.00;0.00;0.00;
105;66;;0.82;0.30;2.99;0.00;0.00;0.00;
105;72;;0.82;-0.30;-2.99;0.00;0.00;0.00;
106;68;;0.12;0.30;2.99;0.00;0.00;0.00;
106;73;;0.12;-0.30;-2.99;0.00;0.00;0.00;
107;67;;0.08;0.30;3.00;0.00;0.00;0.00;
107;74;;0.08;-0.30;-3.00;0.00;0.00;0.00;
108;19;;0.00;0.16;1.58;0.00;0.00;0.00;
108;26;;0.00;-0.16;-1.58;0.00;0.00;0.00;
119;63;;0.24;0.18;1.85;0.00;0.00;0.00;
119;52;;0.24;-0.18;-1.85;0.00;0.00;0.00;
121;62;;0.19;0.18;2.07;0.00;0.00;0.00;
121;76;;0.19;-0.18;-2.07;0.00;0.00;0.00;
124;84;;0.27;0.30;3.02;0.00;0.00;0.00;
124;57;;0.27;-0.30;-3.02;0.00;0.00;0.00;
125;85;;1.44;0.30;3.01;0.00;0.00;0.00;
125;58;;1.44;-0.30;-3.01;0.00;0.00;0.00;
126;86;;0.20;0.30;3.02;0.00;0.00;0.00;
126;59;;0.20;-0.30;-3.02;0.00;0.00;0.00;
127;87;;0.23;0.30;3.02;0.00;0.00;0.00;
127;60;;0.23;-0.30;-3.02;0.00;0.00;0.00;
128;69;;0.25;0.30;2.99;0.00;0.00;0.00;
128;95;;0.25;-0.30;-2.99;0.00;0.00;0.00;
129;30;;0.00;0.16;1.58;0.00;0.00;0.00;
129;23;;0.00;-0.16;-1.58;0.00;0.00;0.00;
130;71;;0.15;0.30;2.99;0.00;0.00;0.00;
130;96;;0.15;-0.30;-2.99;0.00;0.00;0.00;
131;72;;0.81;0.30;2.99;0.00;0.00;0.00;
131;97;;0.81;-0.30;-2.99;0.00;0.00;0.00;
132;73;;0.12;0.30;2.99;0.00;0.00;0.00;
132;98;;0.12;-0.30;-2.99;0.00;0.00;0.00;
133;74;;0.08;0.30;3.00;0.00;0.00;0.00;
133;99;;0.08;-0.30;-3.00;0.00;0.00;0.00;
134;89;;0.25;0.18;1.85;0.00;0.00;0.00;
134;63;;0.25;-0.18;-1.85;0.00;0.00;0.00;
135;76;;0.20;0.18;2.07;0.00;0.00;0.00;
135;100;;0.20;-0.18;-2.07;0.00;0.00;0.00;
148;111;;0.43;0.30;3.02;0.00;0.00;0.00;
148;83;;0.43;-0.30;-3.02;0.00;0.00;0.00;
149;12;;0.00;0.16;1.58;0.00;0.00;0.00;
149;19;;0.00;-0.16;-1.58;0.00;0.00;0.00;
150;112;;0.26;0.30;3.02;0.00;0.00;0.00;
150;84;;0.26;-0.30;-3.02;0.00;0.00;0.00;
151;113;;1.45;0.30;3.01;0.00;0.00;0.00;
151;85;;1.45;-0.30;-3.01;0.00;0.00;0.00;
152;114;;0.19;0.30;3.02;0.00;0.00;0.00;
152;86;;0.19;-0.30;-3.02;0.00;0.00;0.00;
153;115;;0.22;0.30;3.02;0.00;0.00;0.00;
153;87;;0.22;-0.30;-3.02;0.00;0.00;0.00;
154;95;;0.24;0.30;2.99;0.00;0.00;0.00;
154;123;;0.24;-0.30;-2.99;0.00;0.00;0.00;
155;23;;0.00;0.16;1.58;0.00;0.00;0.00;
155;16;;0.00;-0.16;-1.58;0.00;0.00;0.00;
156;96;;0.15;0.30;2.99;0.00;0.00;0.00;
156;124;;0.15;-0.30;-2.99;0.00;0.00;0.00;
157;97;;0.82;0.30;2.99;0.00;0.00;0.00;
157;125;;0.82;-0.30;-2.99;0.00;0.00;0.00;
158;98;;0.12;0.30;2.99;0.00;0.00;0.00;
158;126;;0.12;-0.30;-2.99;0.00;0.00;0.00;
159;99;;0.08;0.30;3.00;0.00;0.00;0.00;
159;127;;0.08;-0.30;-3.00;0.00;0.00;0.00;
160;117;;0.23;0.18;1.85;0.00;0.00;0.00;
160;89;;0.23;-0.18;-1.85;0.00;0.00;0.00;
161;100;;0.18;0.18;2.07;0.00;0.00;0.00;
161;128;;0.18;-0.18;-2.07;0.00;0.00;0.00;
174;139;;0.41;0.30;3.02;0.00;0.00;0.00;
174;111;;0.41;-0.30;-3.02;0.00;0.00;0.00;
175;2;;0.00;0.16;1.58;0.00;0.00;0.00;
175;12;;0.00;-0.16;-1.58;0.00;0.00;0.00;
176;140;;0.25;0.30;3.02;0.00;0.00;0.00;
176;112;;0.25;-0.30;-3.02;0.00;0.00;0.00;
177;141;;1.48;0.30;3.01;0.00;0.00;0.00;
177;113;;1.48;-0.30;-3.00;0.00;0.00;0.00;
178;142;;0.17;0.30;3.02;0.00;0.00;0.00;
178;114;;0.17;-0.30;-3.02;0.00;0.00;0.00;
179;143;;0.21;0.30;3.02;0.00;0.00;0.00;
179;115;;0.21;-0.30;-3.02;0.00;0.00;0.00;
180;123;;0.23;0.30;2.99;0.00;0.00;0.00;
180;151;;0.23;-0.30;-2.99;0.00;0.00;0.00;
181;16;;0.00;0.16;1.58;0.00;0.00;0.00;
181;6;;0.00;-0.16;-1.58;0.00;0.00;0.00;
182;124;;0.14;0.30;2.99;0.00;0.00;0.00;
182;152;;0.14;-0.30;-2.99;0.00;0.00;0.00;
183;125;;0.84;0.30;2.99;0.00;0.00;0.00;
183;153;;0.84;-0.30;-2.99;0.00;0.00;0.00;
184;126;;0.11;0.30;2.99;0.00;0.00;0.00;
184;154;;0.11;-0.30;-2.99;0.00;0.00;0.00;
185;127;;0.06;0.30;3.00;0.00;0.00;0.00;
185;155;;0.06;-0.30;-3.00;0.00;0.00;0.00;
186;145;;0.21;0.18;1.86;0.00;0.00;0.00;
186;117;;0.21;-0.18;-1.85;0.00;0.00;0.00;
187;128;;0.16;0.18;2.07;0.00;0.00;0.00;
187;156;;0.16;-0.18;-2.07;0.00;0.00;0.00;
200;49;;0.42;0.30;3.02;0.00;0.00;0.00;
200;116;;0.42;-0.30;-3.02;0.00;0.00;0.00;
201;33;;0.00;0.16;1.58;0.00;0.00;0.00;
201;40;;0.00;-0.16;-1.58;0.00;0.00;0.00;
202;50;;0.25;0.30;3.02;0.00;0.00;0.00;
202;118;;0.25;-0.30;-3.02;0.00;0.00;0.00;
203;51;;1.48;0.30;3.00;0.00;0.00;0.00;
203;119;;1.48;-0.30;-3.01;0.00;0.00;0.00;
204;54;;0.17;0.30;3.02;0.00;0.00;0.00;
204;120;;0.17;-0.30;-3.02;0.00;0.00;0.00;
205;53;;0.21;0.30;3.02;0.00;0.00;0.00;
205;121;;0.21;-0.30;-3.02;0.00;0.00;0.00;
206;129;;0.24;0.30;2.99;0.00;0.00;0.00;
206;64;;0.24;-0.30;-2.99;0.00;0.00;0.00;
207;44;;0.00;0.16;1.58;0.00;0.00;0.00;
207;37;;0.00;-0.16;-1.58;0.00;0.00;0.00;
208;130;;0.14;0.30;2.99;0.00;0.00;0.00;
208;65;;0.14;-0.30;-2.99;0.00;0.00;0.00;
209;131;;0.84;0.30;2.99;0.00;0.00;0.00;
209;66;;0.84;-0.30;-2.99;0.00;0.00;0.00;
210;132;;0.11;0.30;2.99;0.00;0.00;0.00;
210;68;;0.11;-0.30;-2.99;0.00;0.00;0.00;
211;133;;0.07;0.30;3.00;0.00;0.00;0.00;
211;67;;0.07;-0.30;-3.00;0.00;0.00;0.00;
212;52;;0.21;0.18;1.85;0.00;0.00;0.00;
212;122;;0.21;-0.18;-1.86;0.00;0.00;0.00;
213;134;;0.16;0.18;2.07;0.00;0.00;0.00;
213;62;;0.16;-0.18;-2.07;0.00;0.00;0.00;
Total;;;1.48;0.30;3.26;0.00;0.00;0.00;
max/min;;;-14.53;-0.30;-3.15;0.00;0.00;0.00;
