Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-1.0;-10.2;-0.4;
8;4;;0.0;0.0;0.0;0.0;0.0;-5.7;0.0;
9;5;;0.0;0.0;0.0;0.0;1.0;-10.1;0.2;
40;41;;0.0;0.0;0.0;0.0;-1.1;-10.8;-0.5;
41;42;;0.0;0.0;0.0;0.0;0.0;-6.0;0.0;
42;43;;0.0;0.0;0.0;0.0;1.0;-10.7;0.3;
90;55;;0.0;0.0;0.0;0.0;0.0;-8.4;-13.1;
90;49;;0.0;0.0;0.0;0.0;0.0;-0.6;-12.3;
92;26;;0.1;-0.1;0.0;0.0;0.0;-2.9;-6.3;
92;33;;0.0;0.0;0.0;0.0;0.0;-1.7;-6.9;
93;57;;0.0;0.0;0.0;0.0;0.0;-11.1;-13.7;
93;50;;0.0;0.0;0.0;0.0;0.0;2.1;-11.5;
95;58;;0.0;0.0;0.0;0.0;0.0;-13.2;-14.6;
95;51;;0.0;0.0;0.0;0.0;0.0;4.1;-11.3;
97;59;;0.0;0.0;0.0;0.0;0.0;-12.2;-14.1;
97;54;;0.0;0.0;0.0;0.0;0.0;3.0;-11.2;
99;60;;0.0;0.0;0.0;0.0;0.0;-10.8;-13.7;
99;53;;0.0;0.0;0.0;0.0;0.0;1.4;-11.5;
101;83;;0.0;0.0;0.0;0.0;0.0;-8.6;-13.0;
101;55;;0.0;0.0;0.0;0.0;0.0;-0.4;-12.2;
102;64;;0.0;0.0;0.0;0.0;0.0;-0.6;-12.3;
102;69;;0.0;0.0;0.0;0.0;0.0;-8.4;-13.1;
103;37;;0.0;0.0;0.0;0.0;0.0;-1.7;-6.9;
103;30;;0.1;-0.1;0.0;0.0;0.0;-2.9;-6.3;
104;65;;0.0;0.0;0.0;0.0;0.0;1.9;-11.6;
104;71;;0.0;0.0;0.0;0.0;0.0;-11.0;-13.7;
105;66;;0.0;0.0;0.0;0.0;0.0;4.0;-11.4;
105;72;;0.0;0.0;0.0;0.0;0.0;-13.1;-14.6;
106;68;;0.0;0.0;0.0;0.0;0.0;2.8;-11.2;
106;73;;0.0;0.0;0.0;0.0;0.0;-12.1;-14.1;
107;67;;0.0;0.0;0.0;0.0;0.0;1.4;-11.5;
107;74;;0.0;0.0;0.0;0.0;0.0;-10.7;-13.7;
108;19;;0.1;-0.1;0.0;0.0;0.0;-2.9;-6.2;
108;26;;0.0;0.0;0.0;0.0;0.0;-1.7;-7.0;
119;63;;0.0;0.0;0.0;0.0;0.0;-7.4;-8.3;
119;52;;0.0;0.0;0.0;0.0;0.0;1.5;-7.2;
121;62;;0.0;0.0;0.0;0.0;0.0;1.5;-7.2;
121;76;;0.0;0.0;0.0;0.0;0.0;-7.4;-8.3;
124;84;;0.0;0.0;0.0;0.0;0.0;-11.4;-13.7;
124;57;;0.0;0.0;0.0;0.0;0.0;2.4;-11.4;
125;85;;0.0;0.0;0.0;0.0;0.0;-13.7;-14.5;
125;58;;0.0;0.0;0.0;0.0;0.0;4.5;-11.0;
126;86;;0.0;0.0;0.0;0.0;0.0;-12.8;-14.2;
126;59;;0.0;0.0;0.0;0.0;0.0;3.5;-11.0;
127;87;;0.0;0.0;0.0;0.0;0.0;-11.5;-13.9;
127;60;;0.0;0.0;0.0;0.0;0.0;2.1;-11.4;
128;69;;0.0;0.0;0.0;0.0;0.0;-0.5;-12.2;
128;95;;0.0;0.0;0.0;0.0;0.0;-8.5;-13.0;
129;30;;0.0;0.0;0.0;0.0;0.0;-1.7;-7.0;
129;23;;0.1;-0.1;0.0;0.0;0.0;-2.9;-6.2;
130;71;;0.0;0.0;0.0;0.0;0.0;2.2;-11.5;
130;96;;0.0;0.0;0.0;0.0;0.0;-11.3;-13.7;
131;72;;0.0;0.0;0.0;0.0;0.0;4.3;-11.1;
131;97;;0.0;0.0;0.0;0.0;0.0;-13.5;-14.5;
132;73;;0.0;0.0;0.0;0.0;0.0;3.4;-11.0;
132;98;;0.0;0.0;0.0;0.0;0.0;-12.7;-14.2;
133;74;;0.0;0.0;0.0;0.0;0.0;2.0;-11.4;
133;99;;0.0;0.0;0.0;0.0;0.0;-11.4;-13.8;
134;89;;0.0;0.0;0.0;0.0;0.0;-8.1;-8.4;
134;63;;0.0;0.0;0.0;0.0;0.0;2.2;-7.1;
135;76;;0.0;0.0;0.0;0.0;0.0;2.2;-7.1;
135;100;;0.0;0.0;0.0;0.0;0.0;-8.1;-8.4;
148;111;;0.0;0.0;0.0;0.0;0.0;-9.0;-13.1;
148;83;;0.0;0.0;0.0;0.0;0.0;-0.3;-12.0;
149;12;;0.2;-0.2;0.0;0.0;0.0;-2.9;-6.3;
149;19;;0.0;0.0;0.0;0.0;0.0;-1.7;-6.9;
150;112;;0.0;0.0;0.0;0.0;0.0;-11.6;-13.8;
150;84;;0.0;0.0;0.0;0.0;0.0;2.3;-11.3;
151;113;;0.0;0.0;0.0;0.0;0.0;-13.6;-14.3;
151;85;;0.0;0.0;0.0;0.0;0.0;4.4;-10.7;
152;114;;0.0;0.0;0.0;0.0;0.0;-12.6;-14.2;
152;86;;0.0;0.0;0.0;0.0;0.0;3.3;-10.9;
153;115;;0.0;0.0;0.0;0.0;0.0;-11.1;-13.8;
153;87;;0.0;0.0;0.0;0.0;0.0;1.9;-11.3;
154;95;;0.0;0.0;0.0;0.0;0.0;-0.4;-12.1;
154;123;;0.0;0.0;0.0;0.0;0.0;-8.9;-13.1;
155;23;;0.0;0.0;0.0;0.0;0.0;-1.8;-6.9;
155;16;;0.2;-0.2;0.0;0.0;0.0;-2.9;-6.3;
156;96;;0.0;0.0;0.0;0.0;0.0;2.2;-11.3;
156;124;;0.0;0.0;0.0;0.0;0.0;-11.5;-13.7;
157;97;;0.0;0.0;0.0;0.0;0.0;4.2;-10.8;
157;125;;0.0;0.0;0.0;0.0;0.0;-13.5;-14.3;
158;98;;0.0;0.0;0.0;0.0;0.0;3.2;-10.9;
158;126;;0.0;0.0;0.0;0.0;0.0;-12.5;-14.2;
159;99;;0.0;0.0;0.0;0.0;0.0;1.8;-11.3;
159;127;;0.0;0.0;0.0;0.0;0.0;-11.0;-13.8;
160;117;;0.0;0.0;0.0;0.0;0.0;-7.5;-8.3;
160;89;;0.0;0.0;0.0;0.0;0.0;1.8;-7.1;
161;100;;0.0;0.0;0.0;0.0;0.0;1.8;-7.1;
161;128;;0.0;0.0;0.0;0.0;0.0;-7.5;-8.3;
174;139;;0.0;0.0;0.0;0.0;0.0;-3.5;-10.7;
174;111;;0.0;0.0;0.0;0.0;0.0;0.5;-12.2;
175;2;;0.3;-0.3;0.0;0.0;0.0;-2.3;-4.2;
175;12;;0.0;0.0;0.0;0.0;0.0;-1.7;-7.4;
176;140;;0.0;0.0;0.0;0.0;0.0;-7.4;-12.8;
176;112;;0.0;0.0;0.0;0.0;0.0;4.4;-11.1;
177;141;;0.0;0.0;0.0;0.0;0.0;-16.3;-14.6;
177;113;;0.0;0.0;0.0;0.0;0.0;8.2;-10.0;
178;142;;0.0;0.0;0.0;0.0;0.0;-14.4;-14.1;
178;114;;0.0;0.0;0.0;0.0;0.0;8.2;-10.2;
179;143;;0.0;0.0;0.0;0.0;0.0;-13.8;-14.4;
179;115;;0.0;0.0;0.0;0.0;0.0;7.5;-10.6;
180;123;;0.0;0.0;0.0;0.0;0.0;0.5;-12.2;
180;151;;0.0;0.0;0.0;0.0;0.0;-3.3;-10.7;
181;16;;0.0;0.0;0.0;0.0;0.0;-1.7;-7.4;
181;6;;0.3;-0.3;0.0;0.0;0.0;-2.3;-4.2;
182;124;;0.0;0.0;0.0;0.0;0.0;4.4;-11.1;
182;152;;0.0;0.0;0.0;0.0;0.0;-7.4;-12.8;
183;125;;0.0;0.0;0.0;0.0;0.0;8.1;-10.0;
183;153;;0.0;0.0;0.0;0.0;0.0;-16.2;-14.5;
184;126;;0.0;0.0;0.0;0.0;0.0;8.1;-10.3;
184;154;;0.0;0.0;0.0;0.0;0.0;-14.4;-14.0;
185;127;;0.0;0.0;0.0;0.0;0.0;7.4;-10.6;
185;155;;0.0;0.0;0.0;0.0;0.0;-13.9;-14.4;
186;145;;0.0;0.0;0.0;0.0;0.0;-12.9;-8.9;
186;117;;0.0;0.0;0.0;0.0;0.0;7.9;-6.4;
187;128;;0.0;0.0;0.0;0.0;0.0;7.9;-6.4;
187;156;;0.0;0.0;0.0;0.0;0.0;-12.9;-8.9;
200;49;;0.0;0.0;0.0;0.0;0.0;-8.0;-13.3;
200;116;;0.0;0.0;0.0;0.0;0.0;-14.8;-16.4;
201;33;;0.0;0.0;0.0;0.0;0.0;-2.9;-6.7;
201;40;;0.7;0.7;0.0;0.0;0.0;-3.2;-9.5;
202;50;;0.0;0.0;0.0;0.0;0.0;-9.6;-13.6;
202;118;;0.0;0.0;0.0;0.0;0.0;-12.2;-13.5;
203;51;;0.0;0.0;0.0;0.0;0.0;-10.1;-14.4;
203;119;;0.0;0.0;0.0;0.0;0.0;-0.6;-12.0;
204;54;;0.0;0.0;0.0;0.0;0.0;-8.1;-13.6;
204;120;;0.0;0.0;0.0;0.0;0.0;-7.0;-13.5;
205;53;;0.0;0.0;0.0;0.0;0.0;-6.0;-13.1;
205;121;;0.0;0.0;0.0;0.0;0.0;-9.6;-12.7;
206;129;;0.0;0.0;0.0;0.0;0.0;-15.3;-16.4;
206;64;;0.0;0.0;0.0;0.0;0.0;-8.0;-13.3;
207;44;;0.5;0.5;0.0;0.0;0.0;-3.2;-9.5;
207;37;;0.0;0.0;0.0;0.0;0.0;-2.9;-6.7;
208;130;;0.0;0.0;0.0;0.0;0.0;-12.4;-13.5;
208;65;;0.0;0.0;0.0;0.0;0.0;-9.4;-13.5;
209;131;;0.0;0.0;0.0;0.0;0.0;-0.8;-12.0;
209;66;;0.0;0.0;0.0;0.0;0.0;-9.9;-14.4;
210;132;;0.0;0.0;0.0;0.0;0.0;-7.0;-13.4;
210;68;;0.0;0.0;0.0;0.0;0.0;-7.9;-13.6;
211;133;;0.0;0.0;0.0;0.0;0.0;-9.5;-12.6;
211;67;;0.0;0.0;0.0;0.0;0.0;-5.9;-13.1;
212;52;;0.0;0.0;0.0;0.0;0.0;-2.1;-7.7;
212;122;;0.0;0.0;0.0;0.0;0.0;-4.4;-7.8;
213;134;;0.0;0.0;0.0;0.0;0.0;-4.3;-7.8;
213;62;;0.0;0.0;0.0;0.0;0.0;-2.1;-7.7;
Total;;;0.7;0.7;0.0;0.0;1.0;8.2;0.3;
max/min;;;0.0;-0.3;0.0;0.0;-1.1;-16.3;-16.4;
