Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.4;-2.4;2.4;0.0;0.9;0.9;1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.4;-2.4;2.4;0.0;0.9;0.9;1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;3.6;-2.6;2.5;0.0;0.6;0.6;1.3;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;3.8;-2.7;2.7;0.0;0.2;0.3;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;3.8;-2.7;2.7;0.0;0.2;0.3;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_X;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_X;3.8;-2.7;2.7;0.0;0.2;0.3;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_Y;3.8;-2.7;2.7;0.0;0.2;0.3;1.4;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Y;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_Z;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_X;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Y;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Z;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Z;0.0;0.0;0.0;0.0;2.0;1.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;3.8;0.0;2.7;0.1;2.0;1.9;2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-2.7;0.0;0.0;-1.1;-2.5;0.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
