Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-111.30;0.04;-65.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-111.30;0.04;-65.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-109.51;0.03;-64.43;0.03;-97.56;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-109.51;0.03;-64.43;0.03;-97.56;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-106.74;0.01;-63.93;0.09;-257.39;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-106.74;0.01;-63.93;0.09;-257.39;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-69.55;-0.22;80.52;-0.05;-257.63;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-69.10;-0.52;78.72;-0.12;-126.21;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-53.66;-0.09;35.52;0.03;65.84;0.89;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-53.53;-0.05;33.52;0.03;120.22;0.93;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-49.94;-0.43;3.96;-0.03;159.35;-0.31;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-49.95;-0.43;3.76;-0.03;159.93;-0.21;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-65.03;-0.05;-36.64;-0.03;64.32;0.88;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-65.04;-0.05;-36.73;-0.03;61.57;0.88;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-111.18;0.04;69.45;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-111.18;0.04;69.45;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-109.40;0.03;66.05;-0.03;101.67;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-109.40;0.03;66.04;-0.03;101.67;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-106.63;0.01;61.93;-0.09;260.98;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-106.63;0.01;61.93;-0.09;260.98;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-96.28;0.04;-62.50;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-96.28;0.04;-62.50;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-94.49;0.03;-61.21;0.04;-92.82;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-94.49;0.03;-61.21;0.04;-92.82;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-91.68;0.01;-60.54;0.10;-244.37;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-91.68;0.01;-60.54;0.10;-244.37;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-77.30;-0.19;77.74;-0.04;-244.61;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-76.88;-0.43;75.96;-0.10;-117.76;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-77.77;-0.06;32.76;0.03;64.96;0.86;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-77.63;-0.02;30.73;0.03;114.98;0.86;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-74.05;-0.41;6.83;-0.03;144.32;-0.35;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-74.07;-0.41;6.64;-0.04;145.33;-0.26;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-72.92;-0.07;-33.87;-0.03;63.40;0.85;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-72.92;-0.07;-33.97;-0.03;60.86;0.86;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-96.24;0.04;65.98;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-96.24;0.04;65.98;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-94.46;0.03;62.74;-0.04;96.58;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-94.46;0.03;62.74;-0.04;96.58;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-91.66;0.01;58.96;-0.10;248.03;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-91.66;0.01;58.96;-0.10;248.03;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.13;0.04;-64.14;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.13;0.04;-64.14;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-94.34;0.03;-62.19;0.04;-94.79;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-94.34;0.03;-62.19;0.04;-94.79;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
