Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;0.49;-0.22;-0.23;-0.02;5.46;0.52;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;0.51;0.01;-0.43;-0.01;5.26;0.59;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;0.51;0.10;-0.50;-0.01;5.16;0.58;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;0.51;0.10;-0.50;-0.01;5.16;0.58;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;0.54;0.38;-0.77;-0.01;4.63;0.38;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;1.19;0.31;-7.10;-0.03;4.52;0.38;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;1.24;0.59;-7.65;-0.03;-7.65;-0.43;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;1.88;0.28;-13.98;-0.09;-7.77;-0.43;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.87;0.29;-13.99;-0.09;-8.29;-0.45;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.87;0.29;-13.99;-0.09;-8.29;-0.45;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;1.87;0.29;-14.01;-0.09;-8.81;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;0.15;-0.26;1.13;0.00;2.80;0.19;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;0.17;0.00;0.91;0.00;3.50;0.28;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;0.20;0.35;0.59;0.01;4.22;0.10;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;0.84;0.36;-5.74;0.00;4.11;0.10;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;0.90;0.62;-6.28;0.00;-5.81;-0.77;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;1.28;0.56;-10.12;-0.01;-5.88;-0.77;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;1.28;0.57;-10.17;-0.01;-7.40;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;1.09;-0.63;6.49;0.00;-6.26;-0.79;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;1.04;-0.37;5.95;0.00;4.00;0.08;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;0.40;-0.36;-0.38;0.00;4.11;0.09;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;0.37;-0.01;-0.70;0.00;3.59;0.28;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;0.35;0.25;-0.93;0.00;3.04;0.19;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;-0.27;0.23;-7.26;-0.01;3.15;0.19;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;-0.34;0.50;-7.78;-0.02;-8.69;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;1.87;-0.30;14.19;0.09;-8.85;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;1.87;-0.30;14.19;0.09;-8.85;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;1.23;-0.60;7.84;0.03;-8.20;-0.46;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;1.19;-0.31;7.29;0.03;4.28;0.37;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;0.54;-0.39;0.97;0.01;4.40;0.37;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;0.51;-0.10;0.69;0.01;5.08;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;0.51;-0.10;0.69;0.01;5.08;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;0.50;-0.01;0.62;0.01;5.22;0.59;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;0.48;0.22;0.42;0.02;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;-0.14;0.13;-5.91;0.00;5.66;0.51;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;-0.19;0.40;-6.46;-0.01;-4.55;0.01;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;190;141;0.000;N;1.88;0.28;-13.98;-0.09;-7.77;-0.43;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
1;192;145;1.650;V_y;0.90;0.62;-6.28;0.00;-5.81;-0.77;Beam | 3 - HEA 140 | L : 1.650 m
1;194;156;0.000;V_y;1.09;-0.63;6.49;0.00;-6.26;-0.79;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;1.87;0.29;-14.01;-0.09;-8.81;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;1.88;0.28;-13.98;-0.09;-7.77;-0.43;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;-0.14;0.13;-5.91;0.00;5.66;0.51;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.612;M_z;0.51;0.01;-0.43;-0.01;5.26;0.59;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;1.88;0.62;14.20;0.09;5.66;0.59;
1;;;;;-0.54;-0.63;-14.01;-0.09;-9.38;-0.88;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-69.04;-0.53;78.87;-0.11;-127.61;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-67.85;-0.34;66.20;-0.06;-128.08;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-67.58;-0.49;64.27;-0.10;-20.40;0.24;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-66.40;-0.34;51.60;-0.08;-20.86;0.23;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-66.23;-0.42;49.57;-0.09;62.63;0.90;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-65.05;0.03;36.90;0.03;62.16;0.90;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-65.04;0.04;36.81;0.03;64.93;0.89;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-53.94;-0.09;35.66;0.03;64.93;0.89;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-53.81;-0.05;33.67;0.03;119.54;0.93;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-52.60;0.11;21.00;0.05;119.07;0.93;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-52.45;0.15;18.87;0.03;151.98;0.54;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-51.22;0.29;6.21;0.05;151.52;0.53;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-51.04;0.29;4.07;0.00;160.00;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-50.27;0.43;-3.59;0.04;159.72;-0.22;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-50.25;0.43;-3.79;0.03;159.17;-0.32;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-50.21;-0.43;4.17;-0.03;159.17;-0.32;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-50.23;-0.43;3.98;-0.04;159.78;-0.22;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-51.00;-0.30;-3.69;0.00;159.68;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-51.18;-0.29;-5.83;-0.05;151.83;0.53;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-52.41;-0.16;-18.49;-0.03;151.66;0.52;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-52.56;-0.12;-20.62;-0.05;119.39;0.93;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-53.76;0.04;-33.28;-0.03;119.22;0.92;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-53.90;0.08;-35.28;-0.03;65.21;0.90;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-65.01;-0.04;-36.43;-0.03;65.21;0.90;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-65.01;-0.04;-36.52;-0.03;62.48;0.90;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-66.20;0.40;-49.18;0.09;62.31;0.88;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-66.37;0.33;-51.22;0.08;-20.54;0.24;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-67.55;0.47;-63.89;0.10;-20.71;0.23;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-67.81;0.33;-65.82;0.06;-127.75;-0.25;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-69.01;0.52;-78.48;0.11;-127.92;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-69.45;0.24;-80.28;0.05;-258.94;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
