Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
1;1;0.000;max;0.0;0.0;0.0;0.0;3.3;2.3;0.0;
1;1;0.000;min;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;
1;1;0.000;max;0.0;0.0;0.0;0.0;3.3;2.3;0.0;
1;1;0.000;min;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;
1;;1.500;max;4.0;0.8;3.9;0.0;1.4;1.0;1.8;
1;;1.500;min;5.8;-2.8;-5.1;0.0;-1.5;-0.2;-1.9;
1;;1.500;max;4.0;0.8;3.9;0.0;1.4;1.0;1.8;
1;;1.500;min;5.8;-2.8;-5.1;0.0;-1.5;-0.2;-1.9;
1;;1.738;max;4.3;0.8;4.2;0.0;0.9;0.6;2.1;
1;;1.738;min;6.1;-3.0;-5.3;0.0;-0.7;-0.1;-2.2;
1;;2.000;max;4.5;0.9;4.4;0.0;0.4;0.4;2.4;
1;;2.000;min;6.2;-3.1;-5.4;0.0;-0.4;0.0;-2.5;
1;;2.000;max;4.5;0.9;4.4;0.0;0.4;0.4;2.4;
1;;2.000;min;6.2;-3.1;-5.4;0.0;-0.4;0.0;-2.5;
1;;2.190;max;4.5;0.8;4.4;0.0;0.8;0.2;2.6;
1;;2.190;min;6.1;-3.0;-5.3;0.0;-0.2;-0.2;-2.7;
1;2;4.000;max;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;
1;2;4.000;min;2.0;-0.8;-1.8;0.0;-1.8;-2.5;-5.0;
1;2;4.000;max;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;
1;2;4.000;min;2.0;-0.8;-1.8;0.0;-1.8;-2.5;-5.0;
Extremes;;2.000;u_X;4.5;0.9;4.4;0.0;0.4;0.4;2.4;CO12
1;;2.000;u_X;6.2;-3.1;-5.4;0.0;-0.4;0.0;-2.5;CO16
1;;2.000;u_Y;4.5;0.9;4.4;0.0;0.4;0.4;2.4;CO16
1;;2.000;u_Y;6.2;-3.1;-5.4;0.0;-0.4;0.0;-2.5;CO12
1;2;4.000;u_Z;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;CO7
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;CO1
1;2;4.000;φ_X;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;CO12
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;CO12
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;3.3;2.3;0.0;CO16
1;2;4.000;φ_Y;2.0;-0.8;-1.8;0.0;-1.8;-2.5;-5.0;CO6
1;2;4.000;φ_Z;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;CO16
