Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
1;1;0.000;max;-0.01;0.02;0.04;1.2;0.0;0.0;
1;1;0.000;min;-0.02;-0.02;-0.09;-1.2;0.0;0.0;
1;1;0.000;max;-0.01;0.02;0.04;1.2;0.0;0.0;
1;1;0.000;min;-0.02;-0.02;-0.09;-1.2;0.0;0.0;
1;;1.500;max;-0.01;0.00;0.00;1.1;0.5;3.2;
1;;1.500;min;-0.01;0.00;-0.02;-1.7;-1.5;-2.0;
1;;1.500;max;-0.01;0.00;0.00;1.1;0.5;3.2;
1;;1.500;min;-0.01;0.00;-0.02;-1.7;-1.5;-2.0;
1;;1.738;max;-0.01;0.00;-0.01;1.2;0.5;3.3;
1;;1.738;min;-0.01;0.00;-0.02;-1.6;-1.5;-2.1;
1;;2.000;max;-0.01;0.00;0.00;1.3;0.4;3.3;
1;;2.000;min;-0.01;0.00;-0.02;-1.4;-1.6;-2.0;
1;;2.000;max;-0.01;0.00;0.00;1.3;0.4;3.3;
1;;2.000;min;-0.01;0.00;-0.02;-1.4;-1.6;-2.0;
1;;2.190;max;0.00;0.01;0.01;1.3;0.3;3.2;
1;;2.190;min;-0.01;0.00;-0.03;-1.3;-1.6;-1.9;
1;2;4.000;max;0.00;0.02;0.04;0.6;-0.4;0.2;
1;2;4.000;min;-0.01;-0.01;-0.04;-0.9;-1.5;-0.2;
1;2;4.000;max;0.00;0.02;0.04;0.6;-0.4;0.2;
1;2;4.000;min;-0.01;-0.01;-0.04;-0.9;-1.5;-0.2;
Extremes;2;4.000;ε_x;0.00;0.02;0.04;0.6;-0.4;0.2;CO11
1;1;0.000;ε_x;-0.02;-0.02;-0.09;-1.2;0.0;0.0;CO7
1;2;4.000;γ_xy;0.00;0.02;0.04;0.6;-0.4;0.2;CO12
1;1;0.000;γ_xy;-0.02;-0.02;-0.09;-1.2;0.0;0.0;CO12
1;2;4.000;γ_xz;0.00;0.02;0.04;0.6;-0.4;0.2;CO11
1;1;0.000;γ_xz;-0.02;-0.02;-0.09;-1.2;0.0;0.0;CO16
1;;2.500;κ_x;0.00;0.01;0.02;1.3;0.2;2.8;CO12
1;;1.000;κ_x;-0.01;-0.01;-0.04;-1.8;-1.2;-1.7;CO16
1;;1.333;κ_y;-0.01;0.00;0.00;1.0;0.5;3.1;CO12
1;;2.000;κ_y;-0.01;0.00;-0.02;-1.4;-1.6;-2.0;CO16
1;;1.738;κ_z;-0.01;0.00;-0.01;1.2;0.5;3.3;CO12
1;;1.738;κ_z;-0.01;0.00;-0.02;-1.6;-1.5;-2.1;CO16
Total;;;;0.00;0.02;0.04;1.3;0.5;3.3;
1;;;;-0.02;-0.02;-0.09;-1.8;-1.6;-2.1;
;;;;;;;;;;
2;2;0.000;max;0.01;0.01;0.14;18.5;-0.2;0.0;
2;2;0.000;min;-0.01;-0.01;0.05;-10.0;-2.8;0.0;
2;;0.825;max;0.01;0.01;0.13;15.9;0.7;1.8;
2;;0.825;min;-0.01;-0.01;0.04;-8.0;-0.3;-1.3;
2;;0.825;max;0.01;0.01;0.13;15.9;0.7;1.8;
2;;0.825;min;-0.01;-0.01;0.04;-8.0;-0.3;-1.3;
2;;1.005;max;0.01;0.01;0.13;15.5;1.0;2.1;
2;;1.005;min;-0.01;-0.01;0.04;-7.8;-0.1;-1.5;
2;139;1.650;max;0.01;0.00;0.13;14.9;2.7;2.7;
2;139;1.650;min;-0.01;0.00;0.04;-7.5;0.7;-2.0;
Extremes;139;1.650;ε_x;0.01;0.00;0.13;14.9;2.7;2.7;CO11
2;2;0.000;ε_x;-0.01;-0.01;0.05;-10.0;-2.8;0.0;CO17
2;2;0.000;γ_xy;0.01;0.01;0.14;18.5;-0.2;0.0;CO11
2;2;0.000;γ_xy;-0.01;-0.01;0.05;-10.0;-2.8;0.0;CO12
2;2;0.000;γ_xz;0.01;0.01;0.14;18.5;-0.2;0.0;CO7
2;139;1.650;γ_xz;-0.01;0.00;0.04;-7.5;0.7;-2.0;CO11
2;2;0.000;κ_x;0.01;0.01;0.14;18.5;-0.2;0.0;CO17
2;2;0.000;κ_x;-0.01;-0.01;0.05;-10.0;-2.8;0.0;CO16
2;139;1.650;κ_y;0.01;0.00;0.13;14.9;2.7;2.7;CO6
2;2;0.000;κ_y;-0.01;-0.01;0.05;-10.0;-2.8;0.0;CO7
2;139;1.650;κ_z;0.01;0.00;0.13;14.9;2.7;2.7;CO12
