Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;2;2;0.000;N;3.48;0.93;1.84;-0.04;-0.50;0.02;CO30
1;2;2;0.000;N;-3.61;-1.32;3.63;0.08;-3.38;-0.02;CO36
1;2;2;0.000;V_y;3.48;0.93;1.84;-0.04;-0.50;0.02;CO30
1;2;2;0.000;V_y;-3.24;-1.33;2.32;0.07;-2.30;-0.02;CO31
1;2;2;0.000;V_z;-2.93;-0.79;4.85;0.05;-4.18;-0.01;CO26
1;2;2;0.000;V_z;3.48;0.93;1.84;-0.04;-0.50;0.02;CO30
1;2;2;0.000;M_T;-3.61;-1.32;3.63;0.08;-3.38;-0.02;CO36
1;2;2;0.000;M_T;3.10;0.93;3.14;-0.04;-1.58;0.02;CO35
1;2;2;0.000;M_y;3.48;0.93;1.84;-0.04;-0.50;0.02;CO30
1;2;2;0.000;M_y;-2.93;-0.79;4.85;0.05;-4.18;-0.01;CO26
1;2;2;0.000;M_z;3.48;0.93;1.84;-0.04;-0.50;0.02;CO30
1;2;2;0.000;M_z;-3.24;-1.33;2.32;0.07;-2.30;-0.02;CO31
1;2;;0.825;N;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;N;-3.59;-1.00;3.43;0.07;-0.46;1.00;CO36
1;2;;0.825;V_y;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;V_y;-3.22;-1.01;2.12;0.07;-0.47;1.00;CO31
1;2;;0.825;V_z;-2.90;-0.59;4.65;0.04;-0.26;0.60;CO26
1;2;;0.825;V_z;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;M_T;-3.59;-1.00;3.43;0.07;-0.46;1.00;CO36
1;2;;0.825;M_T;3.12;0.75;2.94;-0.04;0.93;-0.70;CO35
1;2;;0.825;M_y;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;M_y;-3.22;-1.01;2.12;0.07;-0.47;1.00;CO31
1;2;;0.825;M_z;-3.59;-1.00;3.43;0.07;-0.46;1.00;CO36
1;2;;0.825;M_z;3.12;0.75;2.94;-0.04;0.93;-0.70;CO35
1;2;;0.825;N;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;N;-3.59;-1.00;3.43;0.07;-0.46;1.00;CO36
1;2;;0.825;V_y;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;V_y;-3.22;-1.01;2.12;0.07;-0.47;1.00;CO31
1;2;;0.825;V_z;-2.90;-0.59;4.65;0.04;-0.26;0.60;CO26
1;2;;0.825;V_z;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
1;2;;0.825;M_T;-3.59;-1.00;3.43;0.07;-0.46;1.00;CO36
1;2;;0.825;M_T;3.12;0.75;2.94;-0.04;0.93;-0.70;CO35
1;2;;0.825;M_y;3.50;0.76;1.64;-0.04;0.94;-0.70;CO30
