Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;N;-33.00;-0.04;-23.41;-0.01;0.00;0.00;CO30
1;10;11;0.000;N;-77.69;0.03;-45.66;0.00;0.00;0.00;CO27
1;10;11;0.000;V_y;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;V_y;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;V_z;-35.06;0.47;-13.44;0.00;0.00;0.00;CO31
1;10;11;0.000;V_z;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;M_T;-66.69;0.05;-36.25;0.01;0.00;0.00;CO37
1;10;11;0.000;M_T;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;M_y;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;M_y;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;M_z;-66.69;0.05;-36.25;0.01;0.00;0.00;CO37
1;10;11;0.000;M_z;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;N;-33.00;-0.04;-23.41;-0.01;0.00;0.00;CO30
1;10;11;0.000;N;-77.69;0.03;-45.66;0.00;0.00;0.00;CO27
1;10;11;0.000;V_y;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;V_y;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;V_z;-35.06;0.47;-13.44;0.00;0.00;0.00;CO31
1;10;11;0.000;V_z;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;M_T;-66.69;0.05;-36.25;0.01;0.00;0.00;CO37
1;10;11;0.000;M_T;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;11;0.000;M_y;-66.69;0.05;-36.25;0.01;0.00;0.00;CO37
1;10;11;0.000;M_y;-76.57;1.07;-46.97;0.00;0.00;0.00;CO28
1;10;11;0.000;M_z;-66.69;0.05;-36.25;0.01;0.00;0.00;CO37
1;10;11;0.000;M_z;-50.02;-0.04;-34.72;-0.01;0.00;0.00;CO35
1;10;;1.500;N;-31.65;-0.03;-19.83;-0.02;-32.44;0.05;CO30
1;10;;1.500;N;-76.36;0.02;-44.93;0.02;-67.97;-0.04;CO27
1;10;;1.500;V_y;-75.24;0.28;-45.47;0.01;-69.35;-1.01;CO28
1;10;;1.500;V_y;-31.65;-0.03;-19.83;-0.02;-32.44;0.05;CO30
1;10;;1.500;V_z;-33.70;0.11;-16.85;0.00;-22.72;-0.43;CO31
1;10;;1.500;V_z;-69.27;0.00;-46.01;0.00;-69.19;0.00;CO24
1;10;;1.500;M_T;-65.35;0.04;-34.45;0.02;-53.04;-0.06;CO37
1;10;;1.500;M_T;-48.67;-0.03;-31.29;-0.02;-49.52;0.05;CO35
1;10;;1.500;M_y;-33.70;0.11;-16.85;0.00;-22.72;-0.43;CO31
1;10;;1.500;M_y;-75.24;0.28;-45.47;0.01;-69.35;-1.01;CO28
1;10;;1.500;M_z;-31.65;-0.03;-19.83;-0.02;-32.44;0.05;CO30
1;10;;1.500;M_z;-75.24;0.28;-45.47;0.01;-69.35;-1.01;CO28
1;10;;1.500;N;-31.65;-0.03;-19.84;-0.02;-32.44;0.05;CO30
1;10;;1.500;N;-76.36;0.02;-44.94;0.02;-67.97;-0.04;CO27
1;10;;1.500;V_y;-75.24;0.27;-45.47;0.01;-69.35;-1.01;CO28
1;10;;1.500;V_y;-31.65;-0.03;-19.84;-0.02;-32.44;0.05;CO30
1;10;;1.500;V_z;-33.70;0.10;-16.85;0.00;-22.72;-0.43;CO31
1;10;;1.500;V_z;-69.27;0.00;-46.01;0.00;-69.19;0.00;CO24
1;10;;1.500;M_T;-65.35;0.04;-34.45;0.02;-53.04;-0.06;CO37
1;10;;1.500;M_T;-48.67;-0.03;-31.30;-0.02;-49.52;0.05;CO35
1;10;;1.500;M_y;-33.70;0.10;-16.85;0.00;-22.72;-0.43;CO31
1;10;;1.500;M_y;-75.24;0.27;-45.47;0.01;-69.35;-1.01;CO28
1;10;;1.500;M_z;-31.65;-0.03;-19.84;-0.02;-32.44;0.05;CO30
1;10;;1.500;M_z;-75.24;0.27;-45.47;0.01;-69.35;-1.01;CO28
1;10;12;4.000;N;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;CO30
1;10;12;4.000;N;-74.23;0.01;-44.74;0.04;-179.63;-0.06;CO27
1;10;12;4.000;V_y;-46.11;0.03;-21.69;0.04;-91.06;-0.14;CO32
1;10;12;4.000;V_y;-73.11;-1.00;-44.02;0.09;-180.76;-0.06;CO28
1;10;12;4.000;V_z;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;CO30
1;10;12;4.000;V_z;-67.15;0.00;-46.20;0.00;-184.23;0.00;CO24
1;10;12;4.000;M_T;-73.11;-1.00;-44.02;0.09;-180.76;-0.06;CO28
1;10;12;4.000;M_T;-46.47;-0.02;-28.73;-0.05;-123.24;0.10;CO35
1;10;12;4.000;M_y;-31.46;-0.44;-19.66;0.01;-69.56;0.01;CO31
1;10;12;4.000;M_y;-67.15;0.00;-46.20;0.00;-184.23;0.00;CO24
1;10;12;4.000;M_z;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;CO30
1;10;12;4.000;M_z;-46.11;0.03;-21.69;0.04;-91.06;-0.14;CO32
1;10;12;4.000;N;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;CO30
