Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;2.2;1.5;0.0;
1;0.0;0.0;0.0;0.0;-3.0;-0.4;0.0;
2;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;
2;1.2;-0.5;-1.1;0.0;-1.2;-1.7;-3.3;
3;3.1;0.3;3.1;0.1;10.0;0.5;1.0;
3;2.9;-0.2;-2.9;0.0;-10.2;0.1;-1.1;
4;3.9;0.3;3.9;0.1;5.0;0.0;0.4;
4;3.8;-0.3;-3.8;0.0;-5.5;-0.2;-0.3;
5;3.1;0.3;3.1;0.1;9.9;0.0;1.1;
5;2.9;-0.3;-2.9;0.0;-10.0;-0.3;-1.0;
6;1.5;0.5;1.4;0.0;2.7;1.8;3.3;
6;1.2;-0.3;-1.1;0.0;-1.3;0.1;-3.2;
7;0.0;0.0;0.0;0.0;2.2;0.4;0.0;
7;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;
8;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
8;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;
9;0.0;0.0;0.0;0.0;3.6;0.0;0.0;
9;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;
10;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
10;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;
11;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
11;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;
12;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;
12;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;
13;21.4;2.5;3.0;21.0;8.8;-1.9;0.8;
13;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;
14;34.0;3.0;3.8;33.7;4.6;0.3;0.0;
14;15.2;-2.8;-3.7;14.5;-5.2;-0.2;0.0;
15;21.5;3.9;3.0;20.9;8.7;4.5;0.7;
15;9.5;-2.4;-2.8;8.8;-9.5;1.9;-0.8;
16;5.4;5.2;1.3;0.1;0.4;1.9;0.5;
16;1.8;-1.4;-1.1;0.1;-0.6;0.3;-0.4;
17;0.0;0.0;0.0;0.0;0.3;0.0;0.0;
17;0.0;0.0;0.0;0.0;-0.2;-2.3;0.0;
18;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
18;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;
19;1.9;1.5;1.1;0.1;0.3;-0.3;0.4;
19;5.2;-5.0;-1.4;0.1;-0.6;-2.0;-0.4;
20;21.4;2.5;2.8;21.1;9.2;-1.9;0.8;
20;10.0;-3.7;-3.0;8.8;-9.2;-4.5;-0.8;
21;34.1;3.0;3.7;33.8;4.9;0.3;0.0;
21;15.0;-2.8;-3.9;14.2;-4.9;-0.2;0.0;
22;21.5;3.9;2.8;20.9;9.0;4.5;0.8;
22;9.6;-2.4;-3.0;8.8;-9.0;1.9;-0.8;
23;5.3;5.2;1.1;0.1;0.3;1.9;0.4;
23;1.9;-1.4;-1.3;0.1;-0.6;0.3;-0.4;
24;0.0;0.0;0.0;0.0;0.3;0.0;0.0;
24;0.0;0.0;0.0;0.0;-0.3;-2.3;0.0;
25;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
25;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;
26;1.9;1.5;1.2;0.1;0.3;-0.3;0.4;
26;5.2;-5.0;-1.4;0.1;-0.6;-2.0;-0.4;
27;20.9;2.5;2.9;20.6;9.0;-2.0;0.7;
27;9.8;-3.7;-3.1;8.5;-8.9;-4.3;-0.7;
28;32.6;3.0;3.8;32.3;4.6;0.3;0.0;
28;15.7;-2.8;-4.0;14.9;-4.5;-0.2;0.0;
29;21.1;3.9;2.9;20.5;8.8;4.3;0.7;
29;9.3;-2.4;-3.1;8.4;-8.7;2.0;-0.7;
30;5.3;5.2;1.1;0.1;0.3;1.9;0.4;
30;2.0;-1.4;-1.4;0.1;-0.6;0.3;-0.4;
31;0.0;0.0;0.0;0.0;0.3;0.0;0.0;
31;0.0;0.0;0.0;0.0;-0.3;-2.3;0.0;
32;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
32;0.0;0.0;0.0;0.0;-0.4;0.0;0.0;
33;1.9;1.5;1.2;0.1;0.3;-0.3;0.4;
33;5.2;-5.0;-1.5;0.1;-0.6;-2.0;-0.4;
34;20.9;2.5;2.9;20.6;8.9;-1.9;0.7;
34;9.8;-3.7;-3.3;8.5;-8.6;-4.3;-0.7;
35;32.8;3.0;3.9;32.4;4.4;0.2;0.0;
35;15.7;-2.8;-4.2;14.9;-4.1;-0.2;0.0;
36;21.1;3.9;2.9;20.5;8.7;4.3;0.7;
36;9.4;-2.4;-3.3;8.4;-8.4;2.0;-0.7;
37;5.3;5.2;1.2;0.1;0.3;1.9;0.4;
37;2.0;-1.4;-1.5;0.1;-0.6;0.3;-0.4;
38;0.0;0.0;0.0;0.0;0.3;0.0;0.0;
38;0.0;0.0;0.0;0.0;-0.3;-2.3;0.0;
39;0.0;0.0;0.0;0.0;3.2;1.6;0.0;
39;0.0;0.0;0.0;0.0;-2.2;-0.4;0.0;
40;1.2;0.3;1.2;0.0;1.2;-0.1;3.3;
40;1.6;-0.5;-1.5;0.0;-2.7;-1.7;-3.2;
41;3.0;0.3;3.0;0.1;9.4;0.6;1.1;
41;3.4;-0.2;-3.4;0.0;-9.8;0.1;-0.9;
42;4.0;0.3;3.9;0.1;4.6;0.0;0.4;
42;4.4;-0.3;-4.3;0.0;-4.4;-0.2;-0.4;
43;3.0;0.3;3.0;0.1;9.2;0.0;0.9;
43;3.4;-0.3;-3.4;0.0;-9.6;-0.3;-1.0;
44;1.3;0.5;1.2;0.0;1.2;1.8;3.2;
44;1.6;-0.3;-1.5;0.0;-2.6;0.1;-3.4;
45;0.0;0.0;0.0;0.0;3.1;0.4;0.0;
45;0.0;0.0;0.0;0.0;-2.2;-1.6;0.0;
46;0.0;0.0;0.0;0.0;2.5;0.0;0.0;
46;0.0;0.0;0.0;0.0;-2.8;-0.4;0.0;
47;0.0;0.0;0.0;0.0;2.8;0.0;0.0;
47;0.0;0.0;0.0;0.0;-3.6;-0.4;0.0;
48;0.0;0.0;0.0;0.0;2.4;0.0;0.0;
48;0.0;0.0;0.0;0.0;-2.8;-0.3;0.0;
49;6.0;1.8;1.9;5.4;4.0;-1.5;0.1;
49;5.5;-4.7;-2.2;1.7;-3.8;-3.9;-0.1;
50;13.1;2.2;2.5;12.7;6.8;-2.0;0.3;
50;7.0;-4.2;-2.8;4.8;-6.5;-4.6;-0.4;
51;20.6;2.5;2.9;20.2;8.9;-2.0;0.7;
51;9.7;-3.7;-3.2;8.3;-8.7;-4.3;-0.7;
52;32.7;3.0;3.8;32.4;4.6;0.2;0.0;
52;15.7;-2.8;-4.1;14.9;-4.2;-0.3;0.0;
53;31.1;2.9;3.3;30.8;6.3;-0.6;0.4;
53;14.6;-2.9;-3.7;13.9;-5.9;-1.9;-0.5;
54;26.9;2.8;3.1;26.6;7.8;-1.4;0.6;
54;12.5;-3.2;-3.5;11.5;-7.5;-3.4;-0.7;
55;6.0;1.8;1.9;5.4;4.1;-1.5;0.0;
55;5.4;-4.7;-2.1;1.7;-4.0;-3.9;0.0;
57;13.1;2.2;2.5;12.7;6.9;-2.0;0.4;
57;7.0;-4.2;-2.7;4.8;-6.8;-4.6;-0.4;
58;20.6;2.5;2.9;20.3;9.1;-2.0;0.7;
58;9.6;-3.7;-3.1;8.3;-8.9;-4.3;-0.7;
59;26.9;2.8;3.0;26.6;8.1;-1.4;0.7;
59;12.4;-3.2;-3.3;11.5;-7.9;-3.4;-0.7;
60;31.0;2.9;3.2;30.7;6.6;-0.6;0.5;
60;14.6;-2.9;-3.5;13.9;-6.4;-1.9;-0.5;
62;32.7;3.0;3.8;32.4;4.6;0.4;0.0;
62;15.7;-2.8;-4.1;14.9;-4.2;-0.2;0.0;
63;32.6;3.0;3.7;32.3;4.8;0.2;0.1;
63;15.6;-2.8;-4.0;14.9;-4.7;-0.3;-0.1;
64;7.5;4.9;1.9;5.3;4.0;3.9;0.1;
64;3.3;-1.7;-2.2;1.7;-3.8;1.5;0.0;
65;13.6;4.4;2.5;12.6;6.7;4.6;0.4;
65;5.9;-2.0;-2.8;4.8;-6.4;2.0;-0.3;
66;20.7;3.9;2.9;20.2;8.7;4.3;0.7;
66;9.2;-2.4;-3.2;8.3;-8.5;2.0;-0.7;
67;31.1;3.1;3.3;30.7;6.2;2.0;0.4;
67;14.6;-2.8;-3.7;13.8;-5.8;0.6;-0.4;
68;26.9;3.4;3.1;26.5;7.7;3.4;0.7;
68;12.3;-2.6;-3.5;11.5;-7.3;1.4;-0.6;
69;7.5;4.9;1.9;5.3;4.1;3.9;0.0;
69;3.2;-1.7;-2.1;1.7;-4.0;1.5;0.0;
71;13.6;4.4;2.5;12.6;6.8;4.6;0.4;
71;5.9;-2.0;-2.7;4.8;-6.7;2.0;-0.4;
72;20.8;3.9;2.8;20.2;8.9;4.3;0.7;
72;9.2;-2.4;-3.1;8.3;-8.8;2.0;-0.7;
73;26.9;3.4;3.0;26.5;7.9;3.4;0.7;
73;12.3;-2.6;-3.3;11.5;-7.8;1.4;-0.7;
74;31.0;3.1;3.2;30.7;6.5;2.0;0.5;
74;14.6;-2.8;-3.5;13.9;-6.3;0.6;-0.5;
76;32.6;3.0;3.7;32.3;4.8;0.4;0.1;
76;15.6;-2.8;-4.0;14.9;-4.7;-0.2;0.0;
83;6.0;1.8;1.9;5.4;4.2;-1.6;0.0;
83;5.5;-4.7;-2.1;1.8;-4.2;-4.0;0.0;
84;13.3;2.1;2.4;12.9;7.0;-2.0;0.4;
84;7.1;-4.2;-2.6;5.0;-7.0;-4.8;-0.4;
85;21.1;2.5;2.8;20.7;9.2;-1.9;0.8;
85;9.9;-3.7;-3.0;8.6;-9.3;-4.5;-0.8;
86;27.8;2.8;3.0;27.5;8.3;-1.4;0.8;
86;12.5;-3.2;-3.1;11.7;-8.4;-3.5;-0.8;
87;32.3;2.9;3.1;32.1;6.9;-0.7;0.5;
87;14.2;-2.9;-3.3;13.5;-7.0;-2.0;-0.5;
89;34.1;3.0;3.6;33.8;5.1;0.2;0.1;
89;15.0;-2.8;-3.8;14.2;-5.2;-0.4;-0.1;
95;7.5;4.9;1.8;5.4;4.2;4.0;0.0;
95;3.2;-1.6;-2.1;1.8;-4.1;1.5;0.0;
96;13.8;4.4;2.4;12.8;6.9;4.8;0.4;
96;6.0;-2.0;-2.6;5.0;-6.9;2.0;-0.4;
97;21.1;3.9;2.8;20.6;9.1;4.5;0.8;
97;9.4;-2.3;-3.0;8.6;-9.1;1.9;-0.8;
98;27.7;3.4;3.0;27.4;8.2;3.5;0.7;
98;12.3;-2.6;-3.1;11.6;-8.2;1.4;-0.8;
99;32.3;3.1;3.1;32.0;6.8;2.0;0.5;
99;14.2;-2.8;-3.3;13.5;-6.9;0.7;-0.5;
100;34.1;3.0;3.6;33.8;5.1;0.4;0.1;
100;15.0;-2.8;-3.8;14.2;-5.2;-0.2;-0.1;
111;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;
111;5.4;-4.7;-1.9;1.8;-4.7;-4.0;0.0;
112;13.3;2.1;2.6;12.9;6.6;-2.1;0.5;
112;7.0;-4.2;-2.5;5.0;-7.5;-4.8;-0.4;
113;21.0;2.5;2.9;20.7;8.9;-1.9;0.8;
113;9.8;-3.7;-2.8;8.6;-9.7;-4.5;-0.7;
114;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;
114;12.7;-3.2;-3.0;11.9;-8.8;-3.5;-0.7;
115;32.3;2.9;3.3;32.0;6.6;-0.7;0.6;
115;14.5;-2.9;-3.2;13.8;-7.4;-2.0;-0.5;
116;8.2;0.3;7.4;3.4;10.8;-0.5;3.2;
116;7.7;-0.2;-7.6;1.0;-19.7;-1.3;-2.8;
117;34.0;3.0;3.7;33.7;4.9;0.2;0.1;
117;15.2;-2.8;-3.7;14.5;-5.5;-0.3;-0.1;
118;7.1;0.7;6.4;3.1;6.7;1.5;0.1;
118;7.7;0.0;-7.6;1.0;-17.1;0.5;-0.1;
119;3.2;0.4;3.2;0.2;8.2;0.8;0.9;
119;3.9;-0.2;-3.9;0.1;-6.8;0.2;-0.8;
120;4.5;0.3;4.1;1.6;5.1;-0.4;1.7;
120;5.9;-0.3;-5.9;0.5;-8.1;-1.1;-0.5;
121;4.7;0.5;4.3;1.9;3.7;0.8;0.5;
121;6.2;-0.2;-6.2;0.7;-9.9;0.3;-0.7;
122;4.0;0.3;4.0;0.1;4.2;0.3;0.3;
122;4.5;-0.3;-4.5;0.1;-3.2;0.0;-0.4;
123;7.6;4.9;2.0;5.4;3.7;4.0;0.0;
123;3.1;-1.6;-1.9;1.8;-4.6;1.5;0.0;
124;13.8;4.4;2.6;12.8;6.5;4.8;0.4;
124;5.9;-2.0;-2.5;5.0;-7.4;2.1;-0.5;
125;21.2;3.9;2.9;20.6;8.7;4.5;0.7;
125;9.3;-2.3;-2.8;8.6;-9.5;1.9;-0.8;
126;27.7;3.4;3.1;27.3;7.8;3.5;0.7;
126;12.5;-2.6;-3.0;11.9;-8.7;1.5;-0.8;
127;32.2;3.1;3.3;31.9;6.5;2.0;0.5;
127;14.4;-2.8;-3.2;13.8;-7.3;0.7;-0.6;
128;34.0;3.0;3.7;33.7;4.8;0.4;0.1;
128;15.2;-2.8;-3.7;14.5;-5.5;-0.2;-0.1;
129;8.1;0.2;7.4;3.4;11.3;1.2;2.8;
129;7.7;-0.4;-7.6;0.9;-20.0;0.5;-3.2;
130;7.0;0.0;6.3;3.0;6.9;-0.5;0.0;
130;7.7;-0.7;-7.6;0.9;-17.0;-1.6;-0.1;
131;3.2;0.2;3.2;0.1;8.0;-0.1;0.8;
131;3.9;-0.4;-3.9;0.0;-6.7;-0.5;-0.9;
132;4.5;0.3;4.1;1.7;5.1;1.1;0.5;
132;5.8;-0.3;-5.8;0.6;-8.0;0.5;-1.7;
133;4.8;0.1;4.3;2.1;3.7;-0.3;0.7;
133;6.2;-0.6;-6.1;0.8;-9.6;-0.9;-0.6;
134;4.0;0.2;4.0;0.2;4.2;-0.2;0.4;
134;4.5;-0.4;-4.5;0.1;-3.2;-0.4;-0.3;
139;8.2;0.3;7.4;3.4;19.2;-0.5;2.8;
139;7.1;-0.2;-7.1;1.0;-10.7;-1.3;-3.1;
140;8.0;0.7;7.4;3.1;16.8;1.5;0.1;
140;6.1;0.0;-6.0;1.0;-6.6;0.5;-0.1;
141;3.7;0.4;3.6;0.2;7.1;0.7;0.9;
141;3.1;-0.2;-3.1;0.1;-9.0;0.2;-0.9;
142;5.7;0.3;5.4;1.6;7.8;-0.4;0.4;
142;4.0;-0.3;-4.0;0.5;-6.1;-1.1;-1.7;
143;6.0;0.5;5.7;1.9;9.6;0.8;0.8;
143;4.1;-0.2;-4.1;0.7;-4.9;0.3;-0.6;
145;4.1;0.3;4.1;0.1;3.8;0.3;0.4;
145;3.8;-0.3;-3.8;0.1;-5.1;0.0;-0.3;
151;8.2;0.2;7.4;3.4;19.9;1.2;3.1;
151;7.2;-0.4;-7.2;0.9;-11.2;0.5;-2.8;
152;8.0;0.0;7.4;3.0;16.9;-0.5;0.1;
152;6.2;-0.7;-6.1;0.9;-6.7;-1.6;-0.1;
153;3.6;0.2;3.6;0.1;7.0;-0.1;0.9;
153;3.1;-0.4;-3.1;0.0;-8.8;-0.5;-0.9;
154;5.6;0.3;5.4;1.7;7.8;1.1;1.7;
154;4.0;-0.3;-3.9;0.6;-6.1;0.5;-0.4;
155;6.0;0.1;5.6;2.1;9.5;-0.3;0.6;
155;4.1;-0.6;-4.0;0.8;-5.0;-0.9;-0.8;
156;4.1;0.2;4.1;0.2;3.8;-0.2;0.3;
156;3.8;-0.4;-3.8;0.1;-5.1;-0.4;-0.4;
Total;34.1;5.2;7.4;33.8;19.9;4.8;3.3;
max/min;0.0;-5.0;-7.6;0.0;-20.0;-4.8;-3.4;
