Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
1;P_x;1.56;-3.27;4.92;0.00;0.00;-0.01;CO31
1;P_x;-3.77;2.00;5.80;0.00;0.00;0.01;CO35
1;P_y;-3.51;2.00;3.76;0.00;0.00;0.01;CO30
1;P_y;1.32;-3.28;6.96;0.00;0.00;-0.01;CO36
1;P_z;0.30;-1.99;8.80;0.00;0.00;0.00;CO26
1;P_z;-3.51;2.00;3.76;0.00;0.00;0.01;CO30
1;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
1;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
1;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
1;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
1;M_z;-3.77;2.00;5.80;0.00;0.00;0.01;CO35
1;M_z;1.56;-3.27;4.92;0.00;0.00;-0.01;CO31
Extremes;;1.56;2.00;8.80;0.00;0.00;0.01;
1;;-3.77;-3.28;3.76;0.00;0.00;-0.01;
1;;;;;;;;
7;P_x;3.70;2.00;5.64;0.00;0.00;-0.01;CO35
7;P_x;-1.58;-3.26;4.83;0.00;0.00;0.01;CO29
7;P_y;3.46;2.00;3.64;0.00;0.00;-0.01;CO30
7;P_y;-1.58;-3.26;4.83;0.00;0.00;0.01;CO29
7;P_z;-0.33;-1.95;8.64;0.00;0.00;0.00;CO24
7;P_z;3.46;2.00;3.64;0.00;0.00;-0.01;CO30
7;M_x;0.35;0.00;4.34;0.00;0.00;0.00;CO20
7;M_x;0.35;0.00;4.34;0.00;0.00;0.00;CO20
7;M_y;0.35;0.00;4.34;0.00;0.00;0.00;CO20
7;M_y;0.35;0.00;4.34;0.00;0.00;0.00;CO20
7;M_z;-1.34;-3.26;6.83;0.00;0.00;0.01;CO34
7;M_z;3.70;2.00;5.64;0.00;0.00;-0.01;CO35
Extremes;;3.70;2.00;8.64;0.00;0.00;0.01;
7;;-1.58;-3.26;3.64;0.00;0.00;-0.01;
7;;;;;;;;
8;P_x;3.75;-5.28;4.41;0.00;0.00;0.00;CO31
8;P_x;-0.08;-1.97;19.17;0.00;0.00;0.00;CO24
8;P_y;1.26;4.58;8.50;0.00;0.00;0.00;CO30
8;P_y;3.74;-5.30;8.86;0.00;0.00;0.00;CO36
8;P_z;-0.08;-1.97;19.17;0.00;0.00;0.00;CO24
8;P_z;3.75;-5.28;4.41;0.00;0.00;0.00;CO31
8;M_x;1.29;0.00;8.12;0.00;0.00;0.00;CO20
8;M_x;1.29;0.00;8.12;0.00;0.00;0.00;CO20
8;M_y;1.29;0.00;8.12;0.00;0.00;0.00;CO20
8;M_y;1.29;0.00;8.12;0.00;0.00;0.00;CO20
8;M_z;1.29;0.00;8.12;0.00;0.00;0.00;CO20
8;M_z;1.29;0.00;8.12;0.00;0.00;0.00;CO20
Extremes;;3.75;4.58;19.17;0.00;0.00;0.00;
8;;-0.08;-5.30;4.41;0.00;0.00;0.00;
8;;;;;;;;
9;P_x;0.00;-2.93;18.72;0.00;0.00;0.00;CO26
9;P_x;-3.59;-4.75;4.73;0.00;0.00;0.00;CO29
9;P_y;-1.17;5.11;8.87;0.00;0.00;0.00;CO30
9;P_y;0.00;-4.82;16.23;0.00;0.00;0.00;CO36
9;P_z;0.00;-2.93;18.72;0.00;0.00;0.00;CO26
9;P_z;-3.59;-4.75;4.73;0.00;0.00;0.00;CO29
9;M_x;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
9;M_x;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
9;M_y;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
9;M_y;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
9;M_z;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
9;M_z;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
Extremes;;0.00;5.11;18.72;0.00;0.00;0.00;
9;;-3.59;-4.82;4.73;0.00;0.00;0.00;
9;;;;;;;;
10;P_x;0.00;-1.25;16.93;0.00;0.00;0.00;CO28
10;P_x;-0.07;2.75;17.05;0.00;0.00;0.00;CO25
10;P_y;-0.04;4.58;8.38;0.00;0.00;0.00;CO30
10;P_y;-0.03;-5.24;7.91;0.00;0.00;0.00;CO29
10;P_z;-0.07;2.75;17.05;0.00;0.00;0.00;CO25
10;P_z;-0.03;-5.24;7.91;0.00;0.00;0.00;CO29
10;M_x;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
10;M_x;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
10;M_y;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
10;M_y;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
10;M_z;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
10;M_z;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
Extremes;;0.00;4.58;17.05;0.00;0.00;0.00;
10;;-0.07;-5.24;7.91;0.00;0.00;0.00;
10;;;;;;;;
11;P_x;-13.44;1.97;33.54;0.00;0.00;0.00;CO31
11;P_x;-47.30;0.98;70.10;0.00;0.00;0.00;CO24
11;P_y;-35.54;16.47;37.01;0.00;0.00;0.01;CO35
11;P_y;-46.83;-0.29;76.83;0.00;0.00;0.00;CO28
11;P_z;-46.88;0.04;77.95;0.00;0.00;0.00;CO27
11;P_z;-23.97;16.45;20.00;0.00;0.00;0.01;CO30
11;M_x;-20.77;1.44;34.95;0.00;0.00;0.00;CO20
11;M_x;-20.77;1.44;34.95;0.00;0.00;0.00;CO20
11;M_y;-20.77;1.44;34.95;0.00;0.00;0.00;CO20
11;M_y;-20.77;1.44;34.95;0.00;0.00;0.00;CO20
11;M_z;-35.54;16.47;37.01;0.00;0.00;0.01;CO35
11;M_z;-37.32;0.06;66.91;0.00;0.00;-0.01;CO37
Extremes;;-13.44;16.47;77.95;0.00;0.00;0.01;
11;;-47.30;-0.29;20.00;0.00;0.00;-0.01;
11;;;;;;;;
17;P_x;47.27;1.45;68.73;0.00;0.00;0.00;CO26
17;P_x;13.46;1.73;34.11;0.00;0.00;0.00;CO29
17;P_y;35.62;16.39;37.11;0.00;0.00;-0.01;CO35
17;P_y;46.83;-0.29;76.55;0.00;0.00;0.00;CO28
17;P_z;46.83;0.04;77.89;0.00;0.00;0.00;CO27
17;P_z;24.05;16.36;20.13;0.00;0.00;-0.01;CO30
17;M_x;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_x;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_y;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_y;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_z;37.24;0.06;66.85;0.00;0.00;0.01;CO37
17;M_z;35.62;16.39;37.11;0.00;0.00;-0.01;CO35
Extremes;;47.27;16.39;77.89;0.00;0.00;0.01;
17;;13.46;-0.29;20.13;0.00;0.00;-0.01;
17;;;;;;;;
18;P_x;-13.49;-1.52;34.80;0.00;0.00;0.00;CO31
18;P_x;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_y;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_y;-33.60;-16.48;36.98;0.00;0.00;-0.01;CO37
18;P_z;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_z;-22.04;-16.45;19.98;0.00;0.00;-0.01;CO32
18;M_x;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
18;M_x;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
