Member No.;Location;Stress;Design;Loading;Design Check;Design Check;
;x [m];Point No.;Situation;No.;Ratio η [--];Type;Description
1;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;
1;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
1;0.000;;DS1;CO7;0.014;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
1;0.000;;DS1;CO16;0.030;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
1;0.000;;DS1;CO12;0.012;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
1;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
1;2.000;;DS1;CO16;0.096;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
1;1.738;;DS1;CO12;0.155;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
1;1.738;;DS1;CO12;0.156;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;4.000;;DS1;CO3;0.086;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;1.000;;DS1;CO7;0.072;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;CO7;0.066;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;RC1;0.399;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
1;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
1;2.000;;DS2;CO35;0.144;SE1100.00;Serviceability | Deflections in z-direction
1;2.000;;DS2;CO31;0.266;SE1200.00;Serviceability | Deflections in y-direction
1;;;;;;;
2;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;
2;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
2;1.650;;DS1;CO11;0.007;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
2;0.000;;DS1;CO17;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
2;0.000;1;DS1;CO17;0.094;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
2;0.000;;DS1;CO7;0.051;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
2;0.000;;DS1;CO3;0.049;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
2;0.000;;DS1;CO12;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
2;0.000;;DS1;CO19;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
2;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
2;0.000;;DS1;CO7;0.147;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
2;1.650;;DS1;CO12;0.112;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
2;1.650;8;DS1;CO17;0.274;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
2;1.650;;DS1;CO17;0.116;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;0.000;;DS1;CO7;0.147;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
