FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
1;0;0;0;
2;0;0;-4;
3;5;0;-4.5;
4;10;0;-5;
5;15;0;-4.5;
6;20;0;-4;
7;20;0;0;
8;5;0;0;
9;10;0;0;
10;15;0;0;
11;0;5;0;
12;0;5;-4;
13;5;5;-4.5;
14;10;5;-5;
15;15;5;-4.5;
16;20;5;-4;
17;20;5;0;
18;0;10;0;
19;0;10;-4;
20;5;10;-4.5;
21;10;10;-5;
22;15;10;-4.5;
23;20;10;-4;
24;20;10;0;
25;0;15;0;
26;0;15;-4;
27;5;15;-4.5;
28;10;15;-5;
29;15;15;-4.5;
30;20;15;-4;
31;20;15;0;
32;0;20;0;
33;0;20;-4;
34;5;20;-4.5;
35;10;20;-5;
36;15;20;-4.5;
37;20;20;-4;
38;20;20;0;
39;0;25;0;
40;0;25;-4;
41;5;25;-4.5;
42;10;25;-5;
43;15;25;-4.5;
44;20;25;-4;
45;20;25;0;
46;5;25;0;
47;10;25;0;
48;15;25;0;
49;1.6418114229396;20;-4.16418114229396;
50;3.28362277628887;20;-4.32836227762889;
51;4.92543410694525;20;-4.492543410694531;
52;9.8507444160964;20;-4.98507444160964;
53;8.20893312163051;20;-4.82089331216305;
54;6.56712153585604;20;-4.6567121535856;
55;1.641811;15;-4.164181;
56;5;0;-1;
57;3.283623;15;-4.328363000000001;
58;4.925434;15;-4.492544;
59;6.567122;15;-4.656713;
60;8.208933;15;-4.820895;
61;5;0;-3.5;
62;10.1492555839036;20;-4.98507444160964;
63;9.850744;15;-4.985077;
64;18.3581885770604;20;-4.16418114229396;
65;16.7163772237111;20;-4.32836227762889;
66;15.0745658930547;20;-4.492543410694531;
67;11.7910668783695;20;-4.82089331216305;
68;13.432878464144;20;-4.6567121535856;
69;18.358189;15;-4.164181;
70;10;0;-3.5;
71;16.716377;15;-4.328363000000001;
72;15.074566;15;-4.492544;
73;13.432878;15;-4.656713;
74;11.791067;15;-4.820895;
75;15;0;-1;
76;10.149256;15;-4.985077;
77;15;0;-2;
78;15;0;-2.5;
79;15;0;-3;
80;15;0;-3.5;
81;15;0;-4;
82;0;0;-0.5;
83;1.641811;10;-4.164181;
84;3.283623;10;-4.328363000000001;
85;4.925434;10;-4.492544;
86;6.567122;10;-4.656713;
87;8.208933;10;-4.820895;
88;0;5;-3;
89;9.850744;10;-4.985077;
90;0;0;-1;
91;0.205226375;5;-4.020522625;
92;0.41045275;5;-4.04104525;
93;0.615679125;5;-4.061567875;
94;0.8209055;5;-4.0820905;
95;18.358189;10;-4.164181;
96;16.716377;10;-4.328363000000001;
97;15.074566;10;-4.492544;
98;13.432878;10;-4.656713;
99;11.791067;10;-4.820895;
100;10.149256;10;-4.985077;
101;5.3917805;5;-4.53917825;
102;5.58767075;5;-4.558767375;
103;5.783561000000002;5;-4.5783565;
104;5.97945125;5;-4.597945625;
105;6.1753415;5;-4.61753475;
106;6.37123175;5;-4.637123875;
107;15.04660375;0;-4.49534;
108;0;0;-1.5;
109;10.018657;5;-4.998134625;
110;10.037314;5;-4.99626925;
111;1.641811;5;-4.164181;
112;3.283623;5;-4.328363000000001;
113;4.925434;5;-4.492544;
114;6.567122;5;-4.656713;
115;8.208933;5;-4.820895;
116;1.641811;25;-4.164181;
117;9.850744;5;-4.985077;
118;3.283623;25;-4.328363000000001;
119;4.925434;25;-4.492544;
120;6.567122;25;-4.656713;
121;8.208933;25;-4.820895;
122;9.850744;25;-4.985077;
123;18.358189;5;-4.164181;
124;16.716377;5;-4.328363000000001;
125;15.074566;5;-4.492544;
126;13.432878;5;-4.656713;
127;11.791067;5;-4.820895;
128;10.149256;5;-4.985077;
129;18.358189;25;-4.164181;
130;16.716377;25;-4.328363000000001;
131;15.074566;25;-4.492544;
132;13.432878;25;-4.656713;
133;11.791067;25;-4.820895;
134;10.149256;25;-4.985077;
135;0;0;-2;
136;0;10;-0.5;
137;0;10;-1;
138;0;10;-1.5;
139;1.641811;0;-4.164181;
140;3.283623;0;-4.328363000000001;
141;4.925434;0;-4.492544;
142;6.567122;0;-4.656713;
143;8.208933;0;-4.820895;
144;0.205226375;10;-4.020522625;
145;9.850744;0;-4.985077;
146;0.615679125;10;-4.061567875;
147;0.8209055;10;-4.0820905;
148;1.026131875;10;-4.102613125000001;
149;1.23135825;10;-4.123135750000001;
150;1.436584625;10;-4.143658375;
151;18.358189;0;-4.164181;
152;16.716377;0;-4.328363000000001;
153;15.074566;0;-4.492544;
154;13.432878;0;-4.656713;
155;11.791067;0;-4.820895;
156;10.149256;0;-4.985077;
