Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
;x [m];Point No.;Situation;No.;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Ratio η [--];Type;Description
1;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;;;;;;;
1;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
1;0.000;;DS1;CO7;-12.52;-2.76;0.50;0.01;0.00;0.00;0.014;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
1;0.000;;DS1;CO16;-7.98;3.02;-5.44;-0.01;0.00;0.00;0.030;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
1;0.000;;DS1;CO12;-6.69;-4.80;2.41;0.01;0.00;0.00;0.012;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
1;0.000;;DS1;CO1;-6.01;0.00;-0.42;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
1;2.000;;DS1;CO16;-7.18;-0.39;-0.18;-0.01;-5.54;-2.62;0.096;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
1;1.738;;DS1;CO12;-6.00;-0.12;-0.55;0.01;1.61;4.28;0.155;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
1;1.738;;DS1;CO12;-6.00;-0.12;-0.55;0.01;1.61;4.28;0.156;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;4.000;;DS1;CO3;-10.47;0.00;-1.40;0.00;-4.98;0.00;0.086;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;1.000;;DS1;CO7;-12.12;-1.21;-0.52;0.01;-0.01;1.99;0.072;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
1;0.000;;DS1;CO1;-6.01;0.00;-0.42;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;CO7;-12.52;-2.76;0.50;0.01;0.00;0.00;0.066;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;CO1;-6.01;0.00;-0.42;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
1;0.000;;DS1;RC1;-12.52;-2.76;0.50;0.01;0.00;0.00;0.399;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
1;0.000;;DS2;CO20;-4.46;0.00;-0.31;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
1;2.000;;DS2;CO35;-5.19;-0.26;-0.16;-0.01;-3.77;-1.74;0.144;SE1100.00;Serviceability | Deflections in z-direction
1;2.000;;DS2;CO31;-4.31;0.37;-0.66;0.01;0.86;2.80;0.266;SE1200.00;Serviceability | Deflections in y-direction
1;;;;;;;;;;;;;
2;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;;;;;;;
2;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
2;1.650;;DS1;CO11;5.37;0.35;1.87;-0.05;3.08;-1.67;0.007;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
2;0.000;;DS1;CO17;-5.33;-1.98;5.13;0.12;-4.81;-0.02;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
2;0.000;1;DS1;CO17;-5.33;-1.98;5.13;0.12;-4.81;-0.02;0.094;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
2;0.000;;DS1;CO7;-4.29;-1.18;6.96;0.07;-6.01;-0.01;0.051;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
2;0.000;;DS1;CO3;-1.97;0.00;6.78;0.00;-5.47;0.00;0.049;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
2;0.000;;DS1;CO12;-4.76;-1.99;3.16;0.11;-3.19;-0.02;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
2;0.000;;DS1;CO19;1.51;-0.68;4.62;0.01;-3.03;-0.02;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
2;0.000;;DS1;CO1;-0.82;0.00;2.86;0.00;-2.23;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
2;0.000;;DS1;CO7;-4.29;-1.18;6.96;0.07;-6.01;-0.01;0.147;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
2;1.650;;DS1;CO12;-4.72;-0.15;2.60;0.10;1.62;2.24;0.112;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
2;1.650;8;DS1;CO17;-5.28;-0.09;4.57;0.09;3.26;2.19;0.274;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
2;1.650;;DS1;CO17;-5.28;-0.09;4.57;0.09;3.26;2.19;0.116;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;0.000;;DS1;CO7;-4.29;-1.18;6.96;0.07;-6.01;-0.01;0.147;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;0.495;;DS1;CO16;4.77;1.28;4.21;-0.06;0.04;-0.65;0.032;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;1.650;;DS1;CO15;0.30;-0.15;4.31;0.05;3.92;1.09;0.064;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;0.000;;DS2;CO20;-0.61;0.00;2.14;0.00;-1.67;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
2;1.031;;DS2;CO35;3.12;0.65;2.89;-0.03;1.54;-0.84;0.030;SE1100.00;Serviceability | Deflections in z-direction
2;0.990;;DS2;CO36;-3.59;-0.86;3.39;0.07;0.11;1.15;0.073;SE1200.00;Serviceability | Deflections in y-direction
2;;;;;;;;;;;;;
3;Beam | 3 - HEA 140 | L : 1.575 m;;;;;;;;;;;;
3;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
3;1.575;;DS1;CO11;4.29;0.97;2.90;-0.05;0.81;-0.58;0.006;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
3;0.000;;DS1;CO17;-5.41;-2.49;5.50;0.05;-6.08;-2.87;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
3;0.591;1;DS1;CO17;-5.38;-2.32;5.32;0.06;-2.90;-1.41;0.046;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
3;0.000;;DS1;CO6;1.46;1.22;8.02;-0.03;-9.38;1.25;0.059;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
3;0.000;;DS1;CO9;-0.54;-0.51;7.98;0.02;-9.25;-0.47;0.058;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
3;0.000;;DS1;CO17;-5.41;-2.49;5.50;0.05;-6.08;-2.87;0.008;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
3;0.000;;DS1;CO9;-0.54;-0.51;7.98;0.02;-9.25;-0.47;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
3;0.000;;DS1;CO1;-1.90;0.00;3.28;0.00;-3.69;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
3;0.000;;DS1;CO5;-4.18;-0.86;8.02;0.02;-9.42;-0.94;0.231;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
3;0.000;;DS1;CO17;-5.41;-2.49;5.50;0.05;-6.08;-2.87;0.144;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
3;0.000;14;DS1;CO17;-5.41;-2.49;5.50;0.05;-6.08;-2.87;0.396;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
