No.;;;;;Imperfection Parameters;;;;;;;;
;Assigned to Members No.;Imperfection Type;Definition Type;Coordinate System;Direction;;;;;;Axial forces N_y from;Options;Comment
1;1;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
2;1;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/250.000;;;;;;;
3;6;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
4;6;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/250.000;;;;;;;
5;7;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
6;7;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
7;8;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
8;8;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
9;9;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
10;9;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
11;10;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
12;10;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
13;15;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
14;15;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
15;16;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
16;16;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
17;21;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
18;21;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
19;22;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
20;22;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
21;27;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
22;27;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
23;28;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
24;28;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
25;33;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
26;33;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/300.000;;;;;;;
27;34;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
28;34;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/250.000;;;;;;;
29;39;Initial Sway;Relative;Local xyz;y;1/234.192;;;;;;;
30;39;Initial Bow And Criterion;Manually - Relative;Local xyz;y;1/250.000;;;;;;;
31;40;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
32;40;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
33;41;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
34;41;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
35;42;Initial Sway;Relative;Local xyz;-z;1/234.192;;;;;;;
36;42;Initial Bow And Criterion;Manually - Relative;Local xyz;-z;1/250.000;;;;;;;
