No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
1;39;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
2;67;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
3;27;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
4;33;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
5;66;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
6;67;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
7;6;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
8;15;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
9;21;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
10;63;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
11;64;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
12;65;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
13;1;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
14;2;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
15;3;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
16;4;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
17;5;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
18;6;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
19;7;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
20;8;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
21;9;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
22;188;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
23;189;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
24;190;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
25;191;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
