Line No.;;;Length;;;
;Nodes No.;Line Type;L [m];Position;Options;Comment
1;1,2;Polyline;4;On Z;;
2;2,139;Polyline;1.649999624388442;In XZ;;
3;3,142;Polyline;1.574938197915398;In XZ;;
4;4,156;Polyline;0.150000164883242;In XZ;;
5;5,153;Polyline;0.074937842856598;In XZ;;
6;7,6;Polyline;4;|| Z;;
7;8,3;Polyline;4.5;|| Z;;
8;9,4;Polyline;5;|| Z;;
9;10,5;Polyline;4.5;|| Z;;
10;11,12;Polyline;4;|| Z;;
11;12,111;Polyline;1.649999624388442;|| XZ;;
12;13,114;Polyline;1.574938197915398;|| XZ;;
13;14,128;Polyline;0.150000164883242;|| XZ;;
14;15,125;Polyline;0.074937842856598;|| XZ;;
15;17,16;Polyline;4;|| Z;;
16;18,19;Polyline;4;|| Z;;
17;19,83;Polyline;1.649999624388442;|| XZ;;
18;20,86;Polyline;1.574938197915398;|| XZ;;
19;21,100;Polyline;0.150000164883242;|| XZ;;
20;22,97;Polyline;0.074937842856598;|| XZ;;
21;24,23;Polyline;4;|| Z;;
22;25,26;Polyline;4;|| Z;;
23;26,55;Polyline;1.649999624388442;|| XZ;;
24;27,59;Polyline;1.574938197915398;|| XZ;;
25;28,76;Polyline;0.150000164883242;|| XZ;;
26;29,72;Polyline;0.074937842856598;|| XZ;;
27;31,30;Polyline;4;|| Z;;
28;32,33;Polyline;4;|| Z;;
29;33,49;Polyline;1.650000059387845;|| XZ;;
30;34,54;Polyline;1.574937651853311;|| XZ;;
31;35,62;Polyline;0.150000005398895;|| XZ;;
32;36,66;Polyline;0.074937795077804;|| XZ;;
33;38,37;Polyline;4;|| Z;;
34;39,40;Polyline;4;|| Z;;
35;40,116;Polyline;1.649999624388442;|| XZ;;
36;41,120;Polyline;1.574938197915398;|| XZ;;
37;42,134;Polyline;0.150000164883242;|| XZ;;
38;43,131;Polyline;0.074937842856598;|| XZ;;
39;45,44;Polyline;4;|| Z;;
40;46,41;Polyline;4.5;|| Z;;
41;47,42;Polyline;5;|| Z;;
42;48,43;Polyline;4.5;|| Z;;
43;2,12;Polyline;5;|| Y;;
44;12,19;Polyline;5;|| Y;;
45;19,26;Polyline;5;|| Y;;
46;26,33;Polyline;5;|| Y;;
47;33,40;Polyline;5;|| Y;;
48;3,13;Polyline;5;|| Y;;
49;13,20;Polyline;5;|| Y;;
50;20,27;Polyline;5;|| Y;;
51;27,34;Polyline;5;|| Y;;
52;34,41;Polyline;5;|| Y;;
53;4,14;Polyline;5;|| Y;;
54;14,21;Polyline;5;|| Y;;
55;21,28;Polyline;5;|| Y;;
56;28,35;Polyline;5;|| Y;;
57;35,42;Polyline;5;|| Y;;
58;5,15;Polyline;5;|| Y;;
59;15,22;Polyline;5;|| Y;;
60;22,29;Polyline;5;|| Y;;
61;29,36;Polyline;5;|| Y;;
62;36,43;Polyline;5;|| Y;;
63;6,16;Polyline;5;|| Y;;
64;16,23;Polyline;5;|| Y;;
65;23,30;Polyline;5;|| Y;;
66;30,37;Polyline;5;|| Y;;
67;37,44;Polyline;5;|| Y;;
68;46,42;Polyline;7.071067811865476;|| XZ;;
69;47,41;Polyline;6.726812023536856;|| XZ;;
70;8,4;Polyline;7.071067811865476;In XZ;;
71;9,3;Polyline;6.726812023536856;In XZ;;
72;16,24;Polyline;6.40312423743285;|| YZ;;
73;23,17;Polyline;6.40312423743285;|| YZ;;
74;11,19;Polyline;6.40312423743285;In YZ;;
75;18,12;Polyline;6.40312423743285;In YZ;;
76;12,20;Polyline;7.088723439378914;In UV5;;
77;19,13;Polyline;7.088723439378914;In UV5;;
78;13,21;Polyline;7.088723439378914;In UV5;;
79;20,14;Polyline;7.088723439378914;In UV5;;
80;14,22;Polyline;7.088723439378914;In UV4;;
81;21,15;Polyline;7.088723439378914;In UV4;;
82;15,23;Polyline;7.088723439378914;In UV4;;
83;22,16;Polyline;7.088723439378914;In UV4;;
