Set No.;Member Set;;Member Set;Length;Volume;Mass;;;
;Name;Members No.;Type;L [m];;;Position;Options;Comment
1;Obergurt;2,188-190,3,191-193,4,194-196,5,197-199;Continuous Members;20.099751242292925;0.063153418403284;0.495754334465782;In XZ;;
2;Obergurt;11,162-164,12,165-167,13,168-170,14,171-173;Continuous Members;20.099751242292925;0.232152126848483;1.822394195760594;|| XZ;;
3;Obergurt;17,136-138,18,139-141,19,142-144,20,145-147;Continuous Members;20.099751242292925;0.232152126848483;1.822394195760594;|| XZ;;
4;Obergurt;23,91,94,96,24,98,100,120,25,122,109,110,26,111-113;Continuous Members;20.099751242292925;0.232152126848483;1.822394195760594;|| XZ;;
5;Obergurt;29,84-86,30,89-87,31,123,114,115,32,116-118;Continuous Members;20.099751242241783;0.232152126847893;1.822394195755957;|| XZ;;
6;Obergurt;35,214-216,36,217-219,37,220-222,38,223-225;Continuous Members;20.099751242292925;0.063153418403284;0.495754334465782;|| XZ;;
7;;;;;;;;;
8;;;;;;;;;
9;;;;;;;;;
10;;;;;;;;;
11;;;;;;;;;
12;;;;;;;;;
13;;;;;;;;;
14;;;;;;;;;
15;;;;;;;;;
16;;;;;;;;;
17;;;;;;;;;
18;;;;;;;;;
19;;;;;;;;;
20;;;;;;;;;
21;174,148,101,90,200 | Continuous Members;174,148,101,90,200;Continuous Members;25.000000000000043;0.021375;0.16779375;|| Y;;
22;175,149,108,92,201 | Continuous Members;175,149,108,92,201;Continuous Members;25;0.021375;0.16779375;|| Y;;
23;176,150,124,93,202 | Continuous Members;176,150,124,93,202;Continuous Members;25.000000000000114;0.021375;0.167793750000001;|| Y;;
24;177,151,125,95,203 | Continuous Members;177,151,125,95,203;Continuous Members;25.00000000000007;0.021375;0.16779375;|| Y;;
25;178,152,126,97,204 | Continuous Members;178,152,126,97,204;Continuous Members;25.000000000000185;0.021375;0.167793750000001;|| Y;;
26;179,153,127,99,205 | Continuous Members;179,153,127,99,205;Continuous Members;25.000000000000576;0.021375;0.167793750000004;|| Y;;
27;206,102,128,154,180 | Continuous Members;206,102,128,154,180;Continuous Members;25.000000000000043;0.021375;0.16779375;|| Y;;
28;207,103,129,155,181 | Continuous Members;207,103,129,155,181;Continuous Members;25;0.021375;0.16779375;|| Y;;
29;208,104,130,156,182 | Continuous Members;208,104,130,156,182;Continuous Members;25.000000000000114;0.021375;0.167793750000001;|| Y;;
30;209,105,131,157,183 | Continuous Members;209,105,131,157,183;Continuous Members;25.00000000000007;0.021375;0.16779375;|| Y;;
31;210,106,132,158,184 | Continuous Members;210,106,132,158,184;Continuous Members;25.000000000000185;0.021375;0.167793750000001;|| Y;;
32;211,107,133,159,185 | Continuous Members;211,107,133,159,185;Continuous Members;25.000000000000576;0.021375;0.167793750000004;|| Y;;
33;186,160,134,119,212 | Continuous Members;186,160,134,119,212;Continuous Members;25.000000000001343;0.021375000000001;0.167793750000009;|| Y;;
34;213,121,135,161,187 | Continuous Members;213,121,135,161,187;Continuous Members;25.000000000001343;0.021375000000001;0.167793750000009;|| Y;;
