Member No.;Line;;;Rotation;Section;;;Hinge;;Eccentricity;;Length;Volume;Mass;;;
;No.;Member Type;Section Distribution;β [deg] / Node No.;Start i;End j;Internal k;Start i;End j;Start i;End j;L [m];V [m^3 ];M [t];Position;Options;Comment
1;1;Beam;Uniform;0.00;2;2;2;--;--;--;--;4;0.015508;0.1217378;On Z;;
2;2;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388442;0.005184298819828;0.040696745735654;In XZ;;
3;3;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.574938197915398;0.00494845581785;0.038845378170124;In XZ;;
4;4;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.150000164883242;0.000471300518063;0.003699709066796;In XZ;;
5;5;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.074937842856598;0.000235454702255;0.001848319412705;In XZ;;
6;6;Beam;Uniform;0.00;2;2;2;--;--;--;--;4;0.015508;0.1217378;|| Z;;
7;7;Beam;Uniform;90.00;2;2;2;--;1;--;--;4.5;0.0174465;0.136955025;|| Z;;
8;8;Beam;Uniform;90.00;2;2;2;--;1;--;--;5;0.019385;0.15217225;|| Z;;
9;9;Beam;Uniform;90.00;2;2;2;--;1;--;--;4.5;0.0174465;0.136955025;|| Z;;
10;10;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
11;11;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
12;12;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915398;0.018190536185923;0.142795709059494;|| XZ;;
13;13;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
14;14;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856598;0.000865532084994;0.006794426867201;|| XZ;;
15;15;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
16;16;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
17;17;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
18;18;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915398;0.018190536185923;0.142795709059494;|| XZ;;
19;19;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
20;20;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856598;0.000865532084994;0.006794426867201;|| XZ;;
21;21;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
22;22;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
23;23;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
24;24;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915398;0.018190536185923;0.142795709059494;|| XZ;;
25;25;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
26;26;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856598;0.000865532084994;0.006794426867201;|| XZ;;
27;27;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
28;28;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
29;29;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000059387849;0.01905750068593;0.149601380384548;|| XZ;;
30;30;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574937651853314;0.018190529878906;0.14279565954941;|| XZ;;
31;31;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000005398895;0.001732500062357;0.013600125489504;|| XZ;;
32;32;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937795077754;0.000865531533148;0.006794422535212;|| XZ;;
33;33;Beam;Uniform;0.00;1;1;1;--;--;--;--;4;0.0462;0.36267;|| Z;;
34;34;Beam;Uniform;0.00;2;2;2;--;--;--;--;4;0.015508;0.1217378;|| Z;;
35;35;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.649999624388442;0.005184298819828;0.040696745735654;|| XZ;;
36;36;Beam;Uniform;0.00;3;3;3;--;--;1;2;1.574938197915398;0.00494845581785;0.038845378170124;|| XZ;;
37;37;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.150000164883242;0.000471300518063;0.003699709066796;|| XZ;;
38;38;Beam;Uniform;0.00;3;3;3;--;--;1;2;0.074937842856598;0.000235454702255;0.001848319412705;|| XZ;;
39;39;Beam;Uniform;0.00;2;2;2;--;--;--;--;4;0.015508;0.1217378;|| Z;;
40;40;Beam;Uniform;90.00;2;2;2;--;1;--;--;4.5;0.0174465;0.136955025;|| Z;;
41;41;Beam;Uniform;90.00;2;2;2;--;1;--;--;5;0.019385;0.15217225;|| Z;;
42;42;Beam;Uniform;90.00;2;2;2;--;1;--;--;4.5;0.0174465;0.136955025;|| Z;;
43;43;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
44;44;Truss;Uniform;5.71;7;7;7;;;--;--;5;0.00758694625842;0.059557528128596;|| Y;;
45;45;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
46;46;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
47;47;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
48;48;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
49;49;Truss;Uniform;5.71;7;7;7;;;--;--;5;0.00758694625842;0.059557528128596;|| Y;;
50;50;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
51;51;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
52;52;Truss;Uniform;5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
53;53;Truss;Uniform;0.00;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
54;54;Truss;Uniform;0.00;7;7;7;;;--;--;5;0.00758694625842;0.059557528128596;|| Y;;
55;55;Truss;Uniform;0.00;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
56;56;Truss;Uniform;0.00;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
57;57;Truss;Uniform;0.00;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
58;58;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
59;59;Truss;Uniform;-5.71;7;7;7;;;--;--;5;0.00758694625842;0.059557528128596;|| Y;;
60;60;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
61;61;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
62;62;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
63;63;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
64;64;Truss;Uniform;-5.71;7;7;7;;;--;--;5;0.00758694625842;0.059557528128596;|| Y;;
65;65;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
66;66;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
67;67;Truss;Uniform;-5.71;6;6;6;;;--;--;5;0.004343251843588;0.034094526972167;|| Y;;
68;68;Tension;Uniform;0.00;5;5;5;;;--;--;7.071067811865476;0.004885400751218;0.03835039589706;|| XZ;;
69;69;Tension;Uniform;0.00;5;5;5;;;--;--;6.726812023536856;0.004647554427062;0.036483302252434;|| XZ;;
70;70;Tension;Uniform;0.00;5;5;5;;;--;--;7.071067811865476;0.004885400751218;0.03835039589706;In XZ;;
71;71;Tension;Uniform;0.00;5;5;5;;;--;--;6.726812023536856;0.004647554427062;0.036483302252434;In XZ;;
72;72;Tension;Uniform;0.00;5;5;5;;;--;--;6.40312423743285;0.004423918535642;0.034727760504792;|| YZ;;
73;73;Tension;Uniform;0.00;5;5;5;;;--;--;6.40312423743285;0.004423918535642;0.034727760504792;|| YZ;;
74;74;Tension;Uniform;0.00;5;5;5;;;--;--;6.40312423743285;0.004423918535642;0.034727760504792;In YZ;;
75;75;Tension;Uniform;0.00;5;5;5;;;--;--;6.40312423743285;0.004423918535642;0.034727760504792;In YZ;;
76;76;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV5;;
77;77;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV5;;
78;78;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV5;;
79;79;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV5;;
80;80;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
81;81;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
82;82;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
83;83;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
84;84;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999989450433;0.019057499878152;0.149601374043497;|| XZ;;
85;85;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999966644361;0.019057499614742;0.149601371975728;|| XZ;;
