Node No.;;Reference;Coordinate;Coordinate;Coordinates;;;Global Coordinates;;;;
;Node Type;Node;System;Type;X [m];Y [m];Z [m];X [m];Y [m];Z [m];Options;Comment
1;Standard;--;1 - Global XYZ;Cartesian;0;0;0;0;0;0;;
2;Standard;--;1 - Global XYZ;Cartesian;0;0;-4;0;0;-4;;
3;Standard;--;1 - Global XYZ;Cartesian;5;0;-4.5;5;0;-4.5;;
4;Standard;--;1 - Global XYZ;Cartesian;10;0;-5;10;0;-5;;
5;Standard;--;1 - Global XYZ;Cartesian;15;0;-4.5;15;0;-4.5;;
6;Standard;--;1 - Global XYZ;Cartesian;20;0;-4;20;0;-4;;
7;Standard;--;1 - Global XYZ;Cartesian;20;0;0;20;0;0;;
8;Standard;--;1 - Global XYZ;Cartesian;5;0;0;5;0;0;;
9;Standard;--;1 - Global XYZ;Cartesian;10;0;0;10;0;0;;
10;Standard;--;1 - Global XYZ;Cartesian;15;0;0;15;0;0;;
11;Standard;--;1 - Global XYZ;Cartesian;0;5;0;0;5;0;;
12;Standard;--;1 - Global XYZ;Cartesian;0;5;-4;0;5;-4;;
13;Standard;--;1 - Global XYZ;Cartesian;5;5;-4.5;5;5;-4.5;;
14;Standard;--;1 - Global XYZ;Cartesian;10;5;-5;10;5;-5;;
15;Standard;--;1 - Global XYZ;Cartesian;15;5;-4.5;15;5;-4.5;;
16;Standard;--;1 - Global XYZ;Cartesian;20;5;-4;20;5;-4;;
17;Standard;--;1 - Global XYZ;Cartesian;20;5;0;20;5;0;;
18;Standard;--;1 - Global XYZ;Cartesian;0;10;0;0;10;0;;
19;Standard;--;1 - Global XYZ;Cartesian;0;10;-4;0;10;-4;;
20;Standard;--;1 - Global XYZ;Cartesian;5;10;-4.5;5;10;-4.5;;
21;Standard;--;1 - Global XYZ;Cartesian;10;10;-5;10;10;-5;;
22;Standard;--;1 - Global XYZ;Cartesian;15;10;-4.5;15;10;-4.5;;
23;Standard;--;1 - Global XYZ;Cartesian;20;10;-4;20;10;-4;;
24;Standard;--;1 - Global XYZ;Cartesian;20;10;0;20;10;0;;
25;Standard;--;1 - Global XYZ;Cartesian;0;15;0;0;15;0;;
26;Standard;--;1 - Global XYZ;Cartesian;0;15;-4;0;15;-4;;
27;Standard;--;1 - Global XYZ;Cartesian;5;15;-4.5;5;15;-4.5;;
28;Standard;--;1 - Global XYZ;Cartesian;10;15;-5;10;15;-5;;
29;Standard;--;1 - Global XYZ;Cartesian;15;15;-4.5;15;15;-4.5;;
30;Standard;--;1 - Global XYZ;Cartesian;20;15;-4;20;15;-4;;
31;Standard;--;1 - Global XYZ;Cartesian;20;15;0;20;15;0;;
32;Standard;--;1 - Global XYZ;Cartesian;0;20;0;0;20;0;;
33;Standard;--;1 - Global XYZ;Cartesian;0;20;-4;0;20;-4;;
34;Standard;--;1 - Global XYZ;Cartesian;5;20;-4.5;5;20;-4.5;;
35;Standard;--;1 - Global XYZ;Cartesian;10;20;-5;10;20;-5;;
36;Standard;--;1 - Global XYZ;Cartesian;15;20;-4.5;15;20;-4.5;;
37;Standard;--;1 - Global XYZ;Cartesian;20;20;-4;20;20;-4;;
38;Standard;--;1 - Global XYZ;Cartesian;20;20;0;20;20;0;;
39;Standard;--;1 - Global XYZ;Cartesian;0;25;0;0;25;0;;
40;Standard;--;1 - Global XYZ;Cartesian;0;25;-4;0;25;-4;;
41;Standard;--;1 - Global XYZ;Cartesian;5;25;-4.5;5;25;-4.5;;
42;Standard;--;1 - Global XYZ;Cartesian;10;25;-5;10;25;-5;;
43;Standard;--;1 - Global XYZ;Cartesian;15;25;-4.5;15;25;-4.5;;
44;Standard;--;1 - Global XYZ;Cartesian;20;25;-4;20;25;-4;;
45;Standard;--;1 - Global XYZ;Cartesian;20;25;0;20;25;0;;
46;Standard;--;1 - Global XYZ;Cartesian;5;25;0;5;25;0;;
47;Standard;--;1 - Global XYZ;Cartesian;10;25;0;10;25;0;;
48;Standard;--;1 - Global XYZ;Cartesian;15;25;0;15;25;0;;
49;Standard;--;1 - Global XYZ;Cartesian;1.641811422939597;20;-4.16418114229396;1.641811422939597;20;-4.16418114229396;;
50;Standard;--;1 - Global XYZ;Cartesian;3.283622776288871;20;-4.328362277628888;3.283622776288871;20;-4.328362277628888;;
51;Standard;--;1 - Global XYZ;Cartesian;4.92543410694525;20;-4.492543410694525;4.92543410694525;20;-4.492543410694525;;
52;Standard;--;1 - Global XYZ;Cartesian;9.8507444160964;20;-4.98507444160964;9.8507444160964;20;-4.98507444160964;;
53;Standard;--;1 - Global XYZ;Cartesian;8.20893312163051;20;-4.820893312163052;8.20893312163051;20;-4.820893312163052;;
54;Standard;--;1 - Global XYZ;Cartesian;6.567121535856036;20;-4.656712153585604;6.567121535856036;20;-4.656712153585604;;
55;Standard;--;1 - Global XYZ;Cartesian;1.641811;15;-4.164181;1.641811;15;-4.164181;;
56;Standard;--;1 - Global XYZ;Cartesian;11.80933;0;-5.003485;11.80933;0;-5.003485;;
57;Standard;--;1 - Global XYZ;Cartesian;3.283623;15;-4.328363000000001;3.283623;15;-4.328363000000001;;
58;Standard;--;1 - Global XYZ;Cartesian;4.925434;15;-4.492544000000001;4.925434;15;-4.492544000000001;;
59;Standard;--;1 - Global XYZ;Cartesian;6.567122;15;-4.656713000000002;6.567122;15;-4.656713000000002;;
60;Standard;--;1 - Global XYZ;Cartesian;8.208933;15;-4.820895000000002;8.208933;15;-4.820895000000002;;
61;;;;;;;;;;;;
62;Standard;--;1 - Global XYZ;Cartesian;10.1492555839036;20;-4.98507444160964;10.1492555839036;20;-4.98507444160964;;
63;Standard;--;1 - Global XYZ;Cartesian;9.850744;15;-4.985077000000002;9.850744;15;-4.985077000000002;;
64;Standard;--;1 - Global XYZ;Cartesian;18.358188577060403;20;-4.16418114229396;18.358188577060403;20;-4.16418114229396;;
65;Standard;--;1 - Global XYZ;Cartesian;16.716377223711127;20;-4.328362277628888;16.716377223711127;20;-4.328362277628888;;
66;Standard;--;1 - Global XYZ;Cartesian;15.07456589305475;20;-4.492543410694525;15.07456589305475;20;-4.492543410694525;;
67;Standard;--;1 - Global XYZ;Cartesian;11.79106687836949;20;-4.820893312163052;11.79106687836949;20;-4.820893312163052;;
68;Standard;--;1 - Global XYZ;Cartesian;13.432878464143965;20;-4.656712153585604;13.432878464143965;20;-4.656712153585604;;
69;Standard;--;1 - Global XYZ;Cartesian;18.358189;15;-4.164181;18.358189;15;-4.164181;;
70;;;;;;;;;;;;
