Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;Max.;0.0;0.0;0.0;0.0;1.7;16.8;-0.1;
7;3;Min.;0.0;0.0;0.0;0.0;-1.5;-15.4;-0.7;
8;4;Max.;0.0;0.0;0.0;0.0;0.5;10.3;0.6;
8;4;Min.;0.0;0.0;0.0;0.0;-0.6;-8.8;-0.1;
9;5;Max.;0.0;0.0;0.0;0.0;1.4;16.6;1.0;
9;5;Min.;0.0;0.0;0.0;0.0;-1.6;-15.2;0.0;
40;41;Max.;0.0;0.0;0.0;0.0;1.3;14.3;-0.1;
40;41;Min.;0.0;0.0;0.0;0.0;-1.6;-16.3;-0.8;
41;42;Max.;0.0;0.0;0.0;0.0;0.6;7.4;0.6;
41;42;Min.;0.0;0.0;0.0;0.0;-0.5;-9.2;-0.1;
42;43;Max.;0.0;0.0;0.0;0.0;1.5;14.0;1.0;
42;43;Min.;0.0;0.0;0.0;0.0;-1.3;-16.0;0.0;
90;55;Max.;0.0;0.0;0.0;0.0;0.0;2.9;-8.4;
90;55;Min.;0.0;0.0;0.0;0.0;0.0;-13.1;-27.1;
90;49;Max.;0.0;0.0;0.0;0.0;0.0;2.5;-8.7;
90;49;Min.;0.0;0.0;0.0;0.0;0.0;-13.0;-26.8;
92;26;Max.;0.2;0.2;0.0;0.0;0.0;-1.2;-4.4;
92;26;Min.;0.1;-0.1;0.0;0.0;0.0;-5.6;-14.1;
92;33;Max.;0.0;0.0;0.0;0.0;0.0;-0.9;-4.4;
92;33;Min.;0.0;0.0;0.0;0.0;0.0;-5.2;-14.0;
93;57;Max.;0.0;0.0;0.0;0.0;0.0;7.1;-7.4;
93;57;Min.;0.0;0.0;0.0;0.0;0.0;-16.4;-27.6;
93;50;Max.;0.0;0.0;0.0;0.0;0.0;6.5;-7.6;
93;50;Min.;0.0;0.0;0.0;0.0;0.0;-16.4;-27.4;
