Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;Max.;-8.90;0.00;4.22;0.00;0.00;0.00;
7;3;Min.;-25.41;-0.12;-4.76;0.00;0.00;0.00;
8;4;Max.;-8.38;0.00;4.72;0.00;0.00;0.00;
8;4;Min.;-24.57;-0.10;-4.36;0.00;0.00;0.00;
9;5;Max.;-8.84;0.00;4.22;0.00;0.00;0.00;
9;5;Min.;-22.50;-0.10;-4.81;0.00;0.00;0.00;
40;41;Max.;-8.90;0.00;4.88;0.00;0.00;0.00;
40;41;Min.;-25.41;-0.12;-4.23;0.00;0.00;0.00;
41;42;Max.;-8.38;0.00;4.46;0.00;0.00;0.00;
41;42;Min.;-24.57;-0.10;-4.72;0.00;0.00;0.00;
42;43;Max.;-8.84;0.00;4.81;0.00;0.00;0.00;
42;43;Min.;-22.50;-0.10;-4.22;0.00;0.00;0.00;
90;55;Max.;0.68;0.63;6.36;0.00;0.00;0.00;
90;55;Min.;-0.36;0.22;2.16;0.00;0.00;0.00;
90;49;Max.;0.68;-0.22;-2.16;0.00;0.00;0.00;
90;49;Min.;-0.36;-0.63;-6.36;0.00;0.00;0.00;
92;26;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
92;26;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
92;33;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
92;33;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
93;57;Max.;0.39;0.63;6.36;0.00;0.00;0.00;
93;57;Min.;-0.18;0.22;2.16;0.00;0.00;0.00;
93;50;Max.;0.39;-0.22;-2.16;0.00;0.00;0.00;
93;50;Min.;-0.18;-0.63;-6.36;0.00;0.00;0.00;
95;58;Max.;2.17;0.63;6.35;0.00;0.00;0.00;
95;58;Min.;-1.07;0.22;2.16;0.00;0.00;0.00;
95;51;Max.;2.17;-0.22;-2.16;0.00;0.00;0.00;
95;51;Min.;-1.07;-0.63;-6.35;0.00;0.00;0.00;
97;59;Max.;0.29;0.63;6.36;0.00;0.00;0.00;
97;59;Min.;-0.17;0.22;2.16;0.00;0.00;0.00;
97;54;Max.;0.29;-0.22;-2.16;0.00;0.00;0.00;
97;54;Min.;-0.17;-0.63;-6.36;0.00;0.00;0.00;
99;60;Max.;0.34;0.63;6.36;0.00;0.00;0.00;
99;60;Min.;-0.16;0.22;2.16;0.00;0.00;0.00;
99;53;Max.;0.34;-0.22;-2.16;0.00;0.00;0.00;
99;53;Min.;-0.16;-0.63;-6.36;0.00;0.00;0.00;
101;83;Max.;0.69;0.63;6.36;0.00;0.00;0.00;
101;83;Min.;-0.25;0.22;2.16;0.00;0.00;0.00;
101;55;Max.;0.69;-0.22;-2.16;0.00;0.00;0.00;
101;55;Min.;-0.25;-0.63;-6.36;0.00;0.00;0.00;
102;64;Max.;0.71;0.63;6.36;0.00;0.00;0.00;
102;64;Min.;-0.37;0.22;2.16;0.00;0.00;0.00;
102;69;Max.;0.71;-0.22;-2.16;0.00;0.00;0.00;
102;69;Min.;-0.37;-0.63;-6.36;0.00;0.00;0.00;
103;37;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
103;37;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
103;30;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
103;30;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
104;65;Max.;0.38;0.63;6.36;0.00;0.00;0.00;
104;65;Min.;-0.18;0.22;2.16;0.00;0.00;0.00;
104;71;Max.;0.38;-0.22;-2.16;0.00;0.00;0.00;
104;71;Min.;-0.18;-0.63;-6.36;0.00;0.00;0.00;
105;66;Max.;2.13;0.63;6.35;0.00;0.00;0.00;
105;66;Min.;-1.05;0.22;2.16;0.00;0.00;0.00;
105;72;Max.;2.13;-0.22;-2.16;0.00;0.00;0.00;
105;72;Min.;-1.05;-0.63;-6.35;0.00;0.00;0.00;
106;68;Max.;0.30;0.63;6.36;0.00;0.00;0.00;
106;68;Min.;-0.17;0.22;2.16;0.00;0.00;0.00;
106;73;Max.;0.30;-0.22;-2.16;0.00;0.00;0.00;
106;73;Min.;-0.17;-0.63;-6.36;0.00;0.00;0.00;
107;67;Max.;0.33;0.63;6.36;0.00;0.00;0.00;
107;67;Min.;-0.16;0.22;2.16;0.00;0.00;0.00;
107;74;Max.;0.33;-0.22;-2.16;0.00;0.00;0.00;
107;74;Min.;-0.16;-0.63;-6.36;0.00;0.00;0.00;
108;19;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
108;19;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
108;26;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
108;26;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
119;63;Max.;0.36;0.38;4.04;0.00;0.00;0.00;
119;63;Min.;-0.27;0.14;1.37;0.00;0.00;0.00;
119;52;Max.;0.36;-0.14;-1.37;0.00;0.00;0.00;
119;52;Min.;-0.27;-0.38;-4.04;0.00;0.00;0.00;
121;62;Max.;0.35;0.38;4.04;0.00;0.00;0.00;
121;62;Min.;-0.27;0.14;1.37;0.00;0.00;0.00;
121;76;Max.;0.35;-0.14;-1.37;0.00;0.00;0.00;
121;76;Min.;-0.27;-0.38;-4.04;0.00;0.00;0.00;
124;84;Max.;0.40;0.63;6.36;0.00;0.00;0.00;
124;84;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
124;57;Max.;0.40;-0.22;-2.16;0.00;0.00;0.00;
124;57;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
125;85;Max.;2.15;0.63;6.35;0.00;0.00;0.00;
125;85;Min.;-0.51;0.22;2.16;0.00;0.00;0.00;
125;58;Max.;2.15;-0.22;-2.16;0.00;0.00;0.00;
125;58;Min.;-0.51;-0.63;-6.35;0.00;0.00;0.00;
126;86;Max.;0.30;0.63;6.36;0.00;0.00;0.00;
126;86;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
126;59;Max.;0.30;-0.22;-2.16;0.00;0.00;0.00;
126;59;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
127;87;Max.;0.34;0.63;6.36;0.00;0.00;0.00;
127;87;Min.;-0.12;0.22;2.16;0.00;0.00;0.00;
127;60;Max.;0.34;-0.22;-2.16;0.00;0.00;0.00;
127;60;Min.;-0.12;-0.63;-6.36;0.00;0.00;0.00;
128;69;Max.;0.71;0.63;6.36;0.00;0.00;0.00;
128;69;Min.;-0.25;0.22;2.16;0.00;0.00;0.00;
128;95;Max.;0.71;-0.22;-2.16;0.00;0.00;0.00;
128;95;Min.;-0.25;-0.63;-6.36;0.00;0.00;0.00;
129;30;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
129;30;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
129;23;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
129;23;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
130;71;Max.;0.39;0.63;6.36;0.00;0.00;0.00;
130;71;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
130;96;Max.;0.39;-0.22;-2.16;0.00;0.00;0.00;
130;96;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
131;72;Max.;2.12;0.63;6.35;0.00;0.00;0.00;
131;72;Min.;-0.50;0.22;2.16;0.00;0.00;0.00;
131;97;Max.;2.12;-0.22;-2.16;0.00;0.00;0.00;
131;97;Min.;-0.50;-0.63;-6.35;0.00;0.00;0.00;
132;73;Max.;0.31;0.63;6.36;0.00;0.00;0.00;
132;73;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
132;98;Max.;0.31;-0.22;-2.16;0.00;0.00;0.00;
132;98;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
133;74;Max.;0.33;0.63;6.36;0.00;0.00;0.00;
133;74;Min.;-0.12;0.22;2.16;0.00;0.00;0.00;
133;99;Max.;0.33;-0.22;-2.16;0.00;0.00;0.00;
133;99;Min.;-0.12;-0.63;-6.36;0.00;0.00;0.00;
134;89;Max.;0.37;0.38;4.04;0.00;0.00;0.00;
134;89;Min.;-0.19;0.14;1.37;0.00;0.00;0.00;
134;63;Max.;0.37;-0.14;-1.37;0.00;0.00;0.00;
134;63;Min.;-0.19;-0.38;-4.04;0.00;0.00;0.00;
135;76;Max.;0.36;0.38;4.04;0.00;0.00;0.00;
135;76;Min.;-0.19;0.14;1.37;0.00;0.00;0.00;
135;100;Max.;0.36;-0.14;-1.37;0.00;0.00;0.00;
135;100;Min.;-0.19;-0.38;-4.04;0.00;0.00;0.00;
148;111;Max.;0.66;0.63;6.36;0.00;0.00;0.00;
