Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;3.3;2.3;0.0;
1;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;
2;2.3;0.5;2.2;0.1;3.9;-0.1;4.8;
2;2.0;-0.8;-1.8;0.0;-1.8;-2.5;-5.0;
3;4.8;0.6;4.8;0.1;15.1;0.8;1.5;
3;4.5;-0.4;-4.5;0.1;-15.3;0.1;-1.7;
4;6.2;0.5;6.2;0.2;7.7;0.1;0.6;
4;6.0;-0.6;-6.0;0.1;-8.4;-0.3;-0.5;
5;4.8;0.5;4.8;0.1;14.9;0.1;1.6;
5;4.5;-0.6;-4.5;0.1;-15.1;-0.5;-1.4;
6;2.3;0.8;2.2;0.1;4.0;2.6;5.0;
6;1.9;-0.5;-1.8;0.0;-1.9;0.1;-4.8;
7;0.0;0.0;0.0;0.0;3.3;0.7;0.0;
7;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;
8;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
8;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;
9;0.0;0.0;0.0;0.0;5.4;0.0;0.0;
9;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;
10;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
10;0.0;0.0;0.0;0.0;-3.5;-0.5;0.0;
11;0.0;0.0;0.0;0.0;0.5;3.2;0.0;
11;0.0;0.0;0.0;0.0;-0.4;-0.1;0.0;
12;3.3;2.5;2.1;0.2;0.6;-0.3;0.6;
12;7.5;-7.3;-1.8;0.1;-0.9;-2.9;-0.7;
13;30.7;3.8;4.6;30.1;13.3;-2.6;1.2;
13;13.7;-5.5;-4.4;11.8;-14.6;-6.4;-1.1;
14;48.9;4.5;6.0;48.3;7.1;0.4;0.0;
14;20.8;-4.2;-5.9;19.5;-8.0;-0.4;0.0;
15;30.9;5.8;4.6;30.0;13.1;6.4;1.1;
15;13.0;-3.6;-4.4;11.7;-14.3;2.6;-1.2;
16;7.9;7.6;2.1;0.2;0.6;2.8;0.7;
16;2.9;-2.3;-1.7;0.1;-0.9;0.3;-0.6;
17;0.0;0.0;0.0;0.0;0.5;0.1;0.0;
17;0.0;0.0;0.0;0.0;-0.4;-3.4;0.0;
18;0.0;0.0;0.0;0.0;0.4;3.2;0.0;
18;0.0;0.0;0.0;0.0;-0.5;-0.1;0.0;
19;3.0;2.5;1.8;0.2;0.5;-0.3;0.7;
19;7.6;-7.3;-2.1;0.1;-0.8;-2.9;-0.6;
20;30.8;3.8;4.4;30.2;13.9;-2.5;1.2;
20;13.8;-5.5;-4.7;11.8;-13.9;-6.4;-1.2;
21;49.0;4.5;5.8;48.5;7.5;0.4;0.0;
21;20.4;-4.2;-6.1;19.0;-7.6;-0.4;0.0;
22;30.9;5.8;4.4;30.0;13.6;6.5;1.1;
22;13.1;-3.6;-4.7;11.7;-13.7;2.5;-1.1;
23;7.8;7.6;1.7;0.2;0.5;2.8;0.6;
23;3.1;-2.3;-2.1;0.1;-0.8;0.3;-0.7;
24;0.0;0.0;0.0;0.0;0.4;0.1;0.0;
24;0.0;0.0;0.0;0.0;-0.5;-3.4;0.0;
25;0.0;0.0;0.0;0.0;0.4;3.2;0.0;
25;0.0;0.0;0.0;0.0;-0.5;-0.2;0.0;
26;3.1;2.5;1.8;0.2;0.5;-0.3;0.7;
26;7.6;-7.3;-2.2;0.1;-0.9;-2.8;-0.6;
27;30.1;3.9;4.5;29.5;13.6;-2.6;1.1;
27;13.5;-5.5;-4.9;11.3;-13.4;-6.2;-1.1;
28;46.9;4.5;6.0;46.3;7.1;0.4;0.0;
28;21.5;-4.3;-6.3;20.1;-6.9;-0.4;0.0;
29;30.3;5.8;4.5;29.4;13.4;6.2;1.1;
29;12.8;-3.7;-4.9;11.3;-13.2;2.6;-1.1;
30;7.8;7.6;1.8;0.2;0.5;2.8;0.6;
30;3.2;-2.4;-2.2;0.1;-0.9;0.3;-0.7;
31;0.0;0.0;0.0;0.0;0.4;0.1;0.0;
31;0.0;0.0;0.0;0.0;-0.5;-3.3;0.0;
32;0.0;0.0;0.0;0.0;0.5;3.2;0.0;
32;0.0;0.0;0.0;0.0;-0.5;-0.2;0.0;
33;3.1;2.5;1.9;0.2;0.5;-0.3;0.7;
33;7.6;-7.3;-2.3;0.1;-0.9;-2.8;-0.6;
34;30.1;3.9;4.6;29.5;13.4;-2.6;1.0;
34;13.5;-5.5;-5.1;11.3;-13.0;-6.2;-1.1;
35;47.1;4.4;6.1;46.5;6.8;0.4;0.0;
35;21.5;-4.2;-6.6;20.1;-6.3;-0.4;0.0;
36;30.3;5.7;4.6;29.4;13.1;6.2;1.0;
36;12.9;-3.7;-5.1;11.3;-12.7;2.6;-1.0;
37;7.8;7.5;1.8;0.2;0.5;2.8;0.6;
37;3.3;-2.3;-2.3;0.1;-0.9;0.3;-0.7;
38;0.0;0.0;0.0;0.0;0.5;0.1;0.0;
38;0.0;0.0;0.0;0.0;-0.5;-3.3;0.0;
39;0.0;0.0;0.0;0.0;4.9;2.3;0.0;
39;0.0;0.0;0.0;0.0;-3.4;-0.7;0.0;
40;2.0;0.5;1.9;0.1;1.8;-0.1;5.0;
40;2.5;-0.8;-2.4;0.0;-4.1;-2.5;-4.8;
41;4.7;0.6;4.6;0.1;14.1;0.8;1.6;
41;5.3;-0.4;-5.2;0.1;-14.8;0.1;-1.3;
42;6.2;0.5;6.2;0.2;7.0;0.1;0.5;
42;6.8;-0.6;-6.8;0.1;-6.8;-0.3;-0.6;
43;4.7;0.5;4.6;0.1;13.9;0.1;1.3;
43;5.3;-0.6;-5.2;0.1;-14.5;-0.5;-1.5;
44;2.1;0.8;1.9;0.1;1.8;2.6;4.8;
44;2.5;-0.5;-2.4;0.0;-4.0;0.1;-5.0;
45;0.0;0.0;0.0;0.0;4.7;0.7;0.0;
45;0.0;0.0;0.0;0.0;-3.4;-2.3;0.0;
46;0.0;0.0;0.0;0.0;3.8;0.0;0.0;
46;0.0;0.0;0.0;0.0;-4.2;-0.5;0.0;
47;0.0;0.0;0.0;0.0;4.3;0.0;0.0;
47;0.0;0.0;0.0;0.0;-5.5;-0.6;0.0;
48;0.0;0.0;0.0;0.0;3.6;0.0;0.0;
