Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
1;P_x;2.40;-4.91;6.71;0.00;0.00;-0.01;CO12
1;P_x;-5.58;3.00;8.00;0.00;0.00;0.01;CO16
1;P_y;-5.20;3.00;4.95;0.00;0.00;0.01;CO11
1;P_y;2.04;-4.92;9.77;0.00;0.00;-0.01;CO17
1;P_z;0.51;-2.98;12.53;0.00;0.00;-0.01;CO7
1;P_z;-5.20;3.00;4.95;0.00;0.00;0.01;CO11
1;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
1;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
1;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
1;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
1;M_z;-5.58;3.00;8.00;0.00;0.00;0.01;CO16
1;M_z;2.40;-4.91;6.71;0.00;0.00;-0.01;CO12
Extremes;;2.40;3.00;12.53;0.00;0.00;0.01;
1;;-5.58;-4.92;4.95;0.00;0.00;-0.01;
1;;;;;;;;
7;P_x;5.49;3.00;7.82;0.00;0.00;-0.01;CO16
7;P_x;-2.43;-4.88;6.59;0.00;0.00;0.01;CO10
7;P_y;5.13;3.00;4.81;0.00;0.00;-0.01;CO11
7;P_y;-2.43;-4.88;6.59;0.00;0.00;0.01;CO10
7;P_z;-0.55;-2.93;12.30;0.00;0.00;0.01;CO5
7;P_z;5.13;3.00;4.81;0.00;0.00;-0.01;CO11
7;M_x;0.47;0.00;5.87;0.00;0.00;0.00;CO1
7;M_x;0.47;0.00;5.87;0.00;0.00;0.00;CO1
7;M_y;0.47;0.00;5.87;0.00;0.00;0.00;CO1
7;M_y;0.47;0.00;5.87;0.00;0.00;0.00;CO1
7;M_z;-2.07;-4.88;9.58;0.00;0.00;0.01;CO15
7;M_z;5.49;3.00;7.82;0.00;0.00;-0.01;CO16
Extremes;;5.49;3.00;12.30;0.00;0.00;0.01;
7;;-2.43;-4.88;4.81;0.00;0.00;-0.01;
7;;;;;;;;
8;P_x;5.62;-7.91;5.38;0.00;0.00;0.00;CO12
8;P_x;-0.12;-2.95;27.52;0.00;0.00;0.00;CO5
8;P_y;1.09;6.87;11.56;0.00;0.00;0.00;CO11
8;P_y;5.61;-7.94;12.06;0.00;0.00;0.00;CO17
8;P_z;-0.12;-2.95;27.52;0.00;0.00;0.00;CO5
8;P_z;5.62;-7.91;5.38;0.00;0.00;0.00;CO12
8;M_x;1.14;0.00;10.99;0.00;0.00;0.00;CO1
8;M_x;1.14;0.00;10.99;0.00;0.00;0.00;CO1
8;M_y;1.14;0.00;10.99;0.00;0.00;0.00;CO1
8;M_y;1.14;0.00;10.99;0.00;0.00;0.00;CO1
8;M_z;1.14;0.00;10.99;0.00;0.00;0.00;CO1
8;M_z;1.14;0.00;10.99;0.00;0.00;0.00;CO1
Extremes;;5.62;6.87;27.52;0.00;0.00;0.00;
8;;-0.12;-7.94;5.38;0.00;0.00;0.00;
8;;;;;;;;
9;P_x;0.00;-7.20;16.98;0.00;0.00;0.00;CO12
9;P_x;-5.40;-7.13;5.86;0.00;0.00;0.00;CO10
9;P_y;-0.97;7.66;12.06;0.00;0.00;0.00;CO11
9;P_y;0.00;-7.22;23.14;0.00;0.00;0.00;CO17
9;P_z;0.00;-4.39;26.87;0.00;0.00;0.00;CO7
9;P_z;-5.40;-7.13;5.86;0.00;0.00;0.00;CO10
9;M_x;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
9;M_x;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
9;M_y;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
9;M_y;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
9;M_z;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
9;M_z;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
Extremes;;0.00;7.66;26.87;0.00;0.00;0.00;
9;;-5.40;-7.22;5.86;0.00;0.00;0.00;
9;;;;;;;;
10;P_x;0.00;-1.86;24.18;0.00;0.00;0.00;CO9
10;P_x;-0.10;4.11;24.35;0.00;0.00;0.00;CO6
10;P_y;-0.05;6.87;11.34;0.00;0.00;0.00;CO11
10;P_y;-0.05;-7.87;10.68;0.00;0.00;0.00;CO10
10;P_z;-0.10;4.11;24.35;0.00;0.00;0.00;CO6
10;P_z;-0.05;-7.87;10.68;0.00;0.00;0.00;CO10
10;M_x;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
10;M_x;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
10;M_y;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
10;M_y;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
10;M_z;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
10;M_z;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
Extremes;;0.00;6.87;24.35;0.00;0.00;0.00;
10;;-0.10;-7.87;10.68;0.00;0.00;0.00;
10;;;;;;;;
11;P_x;-17.05;2.02;45.13;0.00;0.00;0.00;CO12
11;P_x;-67.90;0.57;99.90;0.00;0.00;0.00;CO5
11;P_y;-50.26;24.77;50.27;0.00;0.00;0.01;CO16
11;P_y;-67.18;-0.41;110.11;0.00;0.00;-0.01;CO9
11;P_z;-67.26;0.07;111.70;0.00;0.00;-0.01;CO8
11;P_z;-32.87;24.71;24.76;0.00;0.00;0.01;CO11
11;M_x;-28.05;1.26;47.18;0.00;0.00;0.00;CO1
11;M_x;-28.05;1.26;47.18;0.00;0.00;0.00;CO1
11;M_y;-28.05;1.26;47.18;0.00;0.00;0.00;CO1
11;M_y;-28.05;1.26;47.18;0.00;0.00;0.00;CO1
11;M_z;-50.26;24.77;50.27;0.00;0.00;0.01;CO16
11;M_z;-52.87;0.11;95.15;0.00;0.00;-0.01;CO18
Extremes;;-17.05;24.77;111.70;0.00;0.00;0.01;
11;;-67.90;-0.41;24.76;0.00;0.00;-0.01;
11;;;;;;;;
17;P_x;67.86;1.71;97.94;0.00;0.00;0.00;CO7
17;P_x;17.08;1.70;45.91;0.00;0.00;0.00;CO10
17;P_y;50.38;24.64;50.42;0.00;0.00;-0.01;CO16
17;P_y;67.18;-0.40;109.70;0.00;0.00;0.01;CO9
17;P_z;67.18;0.07;111.61;0.00;0.00;0.01;CO8
17;P_z;32.99;24.58;24.94;0.00;0.00;-0.01;CO11
17;M_x;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_x;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_y;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_y;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_z;52.75;0.11;95.05;0.00;0.00;0.01;CO18
17;M_z;50.38;24.64;50.42;0.00;0.00;-0.01;CO16
Extremes;;67.86;24.64;111.61;0.00;0.00;0.01;
