Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
1;1;0.000;max;0.0;0.0;0.0;0.0;2.2;1.5;0.0;
1;1;0.000;min;0.0;0.0;0.0;0.0;-3.0;-0.4;0.0;
1;1;0.000;max;0.0;0.0;0.0;0.0;2.2;1.5;0.0;
1;1;0.000;min;0.0;0.0;0.0;0.0;-3.0;-0.4;0.0;
1;;1.500;max;2.6;0.5;2.6;0.0;0.9;0.7;1.2;
1;;1.500;min;3.9;-1.9;-3.4;0.0;-1.0;-0.1;-1.2;
1;;1.500;max;2.6;0.5;2.6;0.0;0.9;0.7;1.2;
1;;1.500;min;3.9;-1.9;-3.4;0.0;-1.0;-0.1;-1.2;
1;;1.738;max;2.8;0.5;2.8;0.0;0.6;0.4;1.4;
1;;1.738;min;4.1;-2.0;-3.5;0.0;-0.5;0.0;-1.4;
1;;2.000;max;2.9;0.5;2.9;0.0;0.3;0.2;1.6;
1;;2.000;min;4.2;-2.1;-3.6;0.0;-0.2;0.0;-1.7;
1;;2.000;max;2.9;0.5;2.9;0.0;0.3;0.2;1.6;
1;;2.000;min;4.2;-2.1;-3.6;0.0;-0.2;0.0;-1.7;
1;;2.190;max;2.9;0.5;2.9;0.0;0.5;0.1;1.8;
1;;2.190;min;4.1;-2.1;-3.5;0.0;-0.1;-0.1;-1.8;
1;2;4.000;max;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;
1;2;4.000;min;1.2;-0.5;-1.1;0.0;-1.2;-1.7;-3.3;
1;2;4.000;max;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;
1;2;4.000;min;1.2;-0.5;-1.1;0.0;-1.2;-1.7;-3.3;
Extremes;;1.738;u_X;2.8;0.5;2.8;0.0;0.6;0.4;1.4;CO31
1;;2.000;u_X;4.2;-2.1;-3.6;0.0;-0.2;0.0;-1.7;CO35
1;;2.000;u_Y;2.9;0.5;2.9;0.0;0.3;0.2;1.6;CO35
1;;2.000;u_Y;4.2;-2.1;-3.6;0.0;-0.2;0.0;-1.7;CO31
1;2;4.000;u_Z;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;CO26
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-3.0;-0.4;0.0;CO20
1;2;4.000;φ_X;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;CO31
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-3.0;-0.4;0.0;CO31
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;2.2;1.5;0.0;CO35
1;2;4.000;φ_Y;1.2;-0.5;-1.1;0.0;-1.2;-1.7;-3.3;CO25
1;2;4.000;φ_Z;1.4;0.3;1.4;0.0;2.6;-0.1;3.2;CO35
1;2;4.000;φ_Z;1.2;-0.5;-1.1;0.0;-1.2;-1.7;-3.3;CO31
Total;;;;4.2;0.5;2.9;0.0;2.6;1.5;3.2;
1;;;;0.0;-2.1;-3.6;0.0;-3.0;-1.7;-3.3;
;;;;;;;;;;;
2;2;0.000;max;1.2;0.3;1.1;0.0;2.6;-0.1;3.2;
2;2;0.000;min;1.1;-0.3;-1.0;0.0;-1.2;-1.7;-3.3;
2;;0.825;max;4.0;0.4;3.6;1.8;10.9;-0.6;3.3;
2;;0.825;min;2.6;-0.2;-2.6;0.4;-6.0;-2.2;-3.6;
2;;0.825;max;4.0;0.4;3.6;1.8;10.9;-0.6;3.3;
2;;0.825;min;2.6;-0.2;-2.6;0.4;-6.0;-2.2;-3.6;
2;;1.005;max;4.6;0.4;4.0;2.2;12.7;-0.7;3.2;
2;;1.005;min;2.9;-0.2;-2.9;0.5;-7.0;-2.1;-3.6;
2;139;1.650;max;6.4;0.5;5.4;3.4;19.2;-0.5;2.8;
2;139;1.650;min;4.0;-0.1;-3.8;1.0;-10.7;-1.3;-3.1;
Extremes;139;1.650;u_X;6.4;0.5;5.4;3.4;19.2;-0.5;2.8;CO36
2;2;0.000;u_X;1.1;-0.3;-1.0;0.0;-1.2;-1.7;-3.3;CO34
2;139;1.650;u_Y;6.4;0.5;5.4;3.4;19.2;-0.5;2.8;CO35
2;139;1.650;u_Y;4.0;-0.1;-3.8;1.0;-10.7;-1.3;-3.1;CO37
2;139;1.650;u_Z;6.4;0.5;5.4;3.4;19.2;-0.5;2.8;CO25
2;2;0.000;u_Z;1.1;-0.3;-1.0;0.0;-1.2;-1.7;-3.3;CO30
2;139;1.650;φ_X;6.4;0.5;5.4;3.4;19.2;-0.5;2.8;CO31
2;139;1.650;φ_X;4.0;-0.1;-3.8;1.0;-10.7;-1.3;-3.1;CO30
2;2;0.000;φ_Y;1.2;0.3;1.1;0.0;2.6;-0.1;3.2;CO31
2;;0.660;φ_Y;2.3;-0.2;-2.3;0.3;-5.0;-2.2;-3.7;CO25
2;;0.495;φ_Z;2.8;0.4;2.6;1.0;7.5;-0.5;3.4;CO35
2;;0.660;φ_Z;2.3;-0.2;-2.3;0.3;-5.0;-2.2;-3.7;CO31
Total;;;;6.4;0.5;5.4;3.4;19.2;-0.1;3.4;
2;;;;1.1;-0.3;-3.8;0.0;-10.7;-2.2;-3.7;
;;;;;;;;;;;
3;3;0.000;max;4.9;0.3;4.9;0.1;10.0;0.5;1.0;
3;3;0.000;min;4.7;-0.3;-4.7;0.0;-10.2;0.1;-1.1;
3;;0.647;max;5.1;0.3;5.1;0.4;6.6;-0.2;0.6;
3;;0.647;min;4.9;-0.3;-4.8;0.0;-8.5;-1.0;-0.9;
3;;0.787;max;5.2;0.3;5.2;0.6;5.9;-0.3;0.6;
3;;0.787;min;4.9;-0.3;-4.9;0.1;-8.2;-1.1;-1.1;
3;;0.787;max;5.2;0.3;5.2;0.6;5.9;-0.3;0.6;
3;;0.787;min;4.9;-0.3;-4.9;0.1;-8.2;-1.1;-1.1;
3;142;1.575;max;6.0;0.4;5.7;1.6;7.8;-0.4;0.4;
3;142;1.575;min;5.1;-0.2;-5.1;0.5;-6.1;-1.1;-1.7;
