Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
1;1;0.000;max;0.0;0.0;0.0;0.0;0.0;1.5;2.2;
1;1;0.000;min;0.0;0.0;0.0;0.0;0.0;-0.4;-3.0;
1;1;0.000;max;0.0;0.0;0.0;0.0;0.0;1.5;2.2;
1;1;0.000;min;0.0;0.0;0.0;0.0;0.0;-0.4;-3.0;
1;;1.500;max;2.6;0.0;2.6;0.5;1.2;0.7;0.9;
1;;1.500;min;3.9;0.0;-3.4;-1.9;-1.2;-0.1;-1.0;
1;;1.500;max;2.6;0.0;2.6;0.5;1.2;0.7;0.9;
1;;1.500;min;3.9;0.0;-3.4;-1.9;-1.2;-0.1;-1.0;
1;;1.738;max;2.8;0.0;2.8;0.5;1.4;0.4;0.6;
1;;1.738;min;4.1;0.0;-3.5;-2.0;-1.4;0.0;-0.5;
1;;2.000;max;2.9;0.0;2.9;0.5;1.7;0.2;0.3;
1;;2.000;min;4.2;0.0;-3.6;-2.1;-1.6;0.0;-0.2;
1;;2.000;max;2.9;0.0;2.9;0.5;1.7;0.2;0.3;
1;;2.000;min;4.2;0.0;-3.6;-2.1;-1.6;0.0;-0.2;
1;;2.190;max;2.9;0.0;2.9;0.5;1.8;0.1;0.5;
1;;2.190;min;4.1;0.0;-3.5;-2.1;-1.8;-0.1;-0.1;
1;2;4.000;max;1.4;0.0;1.4;0.3;3.3;-0.1;2.6;
1;2;4.000;min;1.2;0.0;-1.1;-0.5;-3.2;-1.7;-1.2;
1;2;4.000;max;1.4;0.0;1.4;0.3;3.3;-0.1;2.6;
1;2;4.000;min;1.2;0.0;-1.1;-0.5;-3.2;-1.7;-1.2;
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.5;2.2;CO20
1;2;4.000;u_x;1.2;0.0;-1.1;-0.5;-3.2;-1.7;-1.2;CO26
1;;2.000;u_y;2.9;0.0;2.9;0.5;1.7;0.2;0.3;CO35
1;;2.000;u_y;4.2;0.0;-3.6;-2.1;-1.6;0.0;-0.2;CO31
1;;1.738;u_z;2.8;0.0;2.8;0.5;1.4;0.4;0.6;CO31
1;;2.000;u_z;4.2;0.0;-3.6;-2.1;-1.6;0.0;-0.2;CO35
