Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
1;1;0.000;max;0.00;0.01;0.02;0.8;0.0;0.0;
1;1;0.000;min;-0.01;-0.02;-0.06;-0.8;0.0;0.0;
1;1;0.000;max;0.00;0.01;0.02;0.8;0.0;0.0;
1;1;0.000;min;-0.01;-0.02;-0.06;-0.8;0.0;0.0;
1;;1.500;max;0.00;0.00;0.00;0.8;0.3;2.1;
1;;1.500;min;-0.01;0.00;-0.02;-1.0;-1.0;-1.3;
1;;1.500;max;0.00;0.00;0.00;0.8;0.3;2.1;
1;;1.500;min;-0.01;0.00;-0.02;-1.0;-1.0;-1.3;
1;;1.738;max;0.00;0.00;-0.01;0.8;0.3;2.2;
1;;1.738;min;-0.01;0.00;-0.01;-1.0;-1.0;-1.4;
1;;2.000;max;0.00;0.00;0.00;0.8;0.2;2.2;
1;;2.000;min;-0.01;0.00;-0.02;-0.9;-1.1;-1.3;
1;;2.000;max;0.00;0.00;0.00;0.8;0.2;2.2;
1;;2.000;min;-0.01;0.00;-0.02;-0.9;-1.1;-1.3;
1;;2.190;max;0.00;0.00;0.01;0.8;0.2;2.1;
1;;2.190;min;-0.01;0.00;-0.02;-0.8;-1.1;-1.3;
1;2;4.000;max;0.00;0.01;0.03;0.4;-0.3;0.1;
1;2;4.000;min;-0.01;-0.01;-0.03;-0.6;-1.0;-0.1;
1;2;4.000;max;0.00;0.01;0.03;0.4;-0.3;0.1;
1;2;4.000;min;-0.01;-0.01;-0.03;-0.6;-1.0;-0.1;
Extremes;2;4.000;ε_x;0.00;0.01;0.03;0.4;-0.3;0.1;CO30
1;1;0.000;ε_x;-0.01;-0.02;-0.06;-0.8;0.0;0.0;CO26
1;2;4.000;γ_xy;0.00;0.01;0.03;0.4;-0.3;0.1;CO31
1;1;0.000;γ_xy;-0.01;-0.02;-0.06;-0.8;0.0;0.0;CO31
1;2;4.000;γ_xz;0.00;0.01;0.03;0.4;-0.3;0.1;CO30
1;1;0.000;γ_xz;-0.01;-0.02;-0.06;-0.8;0.0;0.0;CO35
1;;2.500;κ_x;0.00;0.01;0.01;0.8;0.1;1.9;CO31
1;;1.000;κ_x;-0.01;-0.01;-0.03;-1.1;-0.8;-1.1;CO35
1;;1.333;κ_y;0.00;0.00;0.00;0.7;0.3;2.1;CO31
1;;2.000;κ_y;-0.01;0.00;-0.02;-0.9;-1.1;-1.3;CO35
1;;1.738;κ_z;0.00;0.00;-0.01;0.8;0.3;2.2;CO31
1;;1.738;κ_z;-0.01;0.00;-0.01;-1.0;-1.0;-1.4;CO35
Total;;;;0.00;0.01;0.03;0.8;0.3;2.2;
1;;;;-0.01;-0.02;-0.06;-1.1;-1.1;-1.4;
;;;;;;;;;;
2;2;0.000;max;0.01;0.01;0.10;11.6;-0.2;0.0;
2;2;0.000;min;-0.01;-0.01;0.04;-6.4;-1.9;0.0;
2;;0.825;max;0.01;0.00;0.09;10.4;0.4;1.2;
2;;0.825;min;-0.01;-0.01;0.03;-5.5;-0.2;-0.9;
2;;0.825;max;0.01;0.00;0.09;10.4;0.4;1.2;
2;;0.825;min;-0.01;-0.01;0.03;-5.5;-0.2;-0.9;
2;;1.005;max;0.01;0.00;0.09;10.2;0.7;1.4;
2;;1.005;min;-0.01;-0.01;0.03;-5.4;0.0;-1.0;
2;139;1.650;max;0.01;0.00;0.09;9.9;1.9;1.8;
2;139;1.650;min;-0.01;0.00;0.03;-5.2;0.6;-1.4;
Extremes;139;1.650;ε_x;0.01;0.00;0.09;9.9;1.9;1.8;CO30
2;2;0.000;ε_x;-0.01;-0.01;0.04;-6.4;-1.9;0.0;CO36
2;2;0.000;γ_xy;0.01;0.01;0.10;11.6;-0.2;0.0;CO30
2;2;0.000;γ_xy;-0.01;-0.01;0.04;-6.4;-1.9;0.0;CO31
2;2;0.000;γ_xz;0.01;0.01;0.10;11.6;-0.2;0.0;CO26
2;139;1.650;γ_xz;-0.01;0.00;0.03;-5.2;0.6;-1.4;CO30
2;2;0.000;κ_x;0.01;0.01;0.10;11.6;-0.2;0.0;CO36
2;2;0.000;κ_x;-0.01;-0.01;0.04;-6.4;-1.9;0.0;CO35
2;139;1.650;κ_y;0.01;0.00;0.09;9.9;1.9;1.8;CO25
2;2;0.000;κ_y;-0.01;-0.01;0.04;-6.4;-1.9;0.0;CO26
2;139;1.650;κ_z;0.01;0.00;0.09;9.9;1.9;1.8;CO31
2;139;1.650;κ_z;-0.01;0.00;0.03;-5.2;0.6;-1.4;CO30
Total;;;;0.01;0.01;0.10;11.6;1.9;1.8;
2;;;;-0.01;-0.01;0.03;-6.4;-1.9;-1.4;
;;;;;;;;;;
