Member No.;Major Axis y/u;;;;;Minor Axis z/v;;;;;
;Under Stress;Length L [m];k_y/u [--];i_y/u [mm];λ_y/u [--];Under Stress;Length L [m];k_z/v [--];i_z/v [mm];λ_z/v [--];Comment
1;Compression / Flexure;4.000;1.80;65.7;109.6;Compression / Flexure;4.000;1.80;39.8;180.7;
2;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
3;Compression / Flexure;1.575;1.00;57.3;27.5;Compression / Flexure;1.575;1.00;35.2;44.7;No effective lengths assigned.
4;Compression / Flexure;0.150;1.00;57.3;2.6;Compression / Flexure;0.150;1.00;35.2;4.3;No effective lengths assigned.
5;Compression / Flexure;0.075;1.00;57.3;1.3;Compression / Flexure;0.075;1.00;35.2;2.1;No effective lengths assigned.
6;Compression / Flexure;4.000;1.80;65.7;109.6;Compression / Flexure;4.000;1.80;39.8;180.7;
7;Compression / Flexure;4.500;1.80;65.7;123.3;Compression / Flexure;4.500;1.80;39.8;203.3;
8;Compression / Flexure;5.000;1.80;65.7;137.0;Compression / Flexure;5.000;1.80;39.8;225.8;
9;Compression / Flexure;4.500;1.80;65.7;123.3;Compression / Flexure;4.500;1.80;39.8;203.3;
10;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
11;Compression / Flexure;1.650;1.00;204.3;8.1;Compression / Flexure;1.650;1.00;43.1;38.3;
12;Compression / Flexure;1.575;1.00;204.3;7.7;Compression / Flexure;1.575;1.00;43.1;36.6;
13;Compression / Flexure;0.150;1.00;204.3;0.7;Compression / Flexure;0.150;1.00;43.1;3.5;
14;Compression / Flexure;0.075;1.00;204.3;0.4;Compression / Flexure;0.075;1.00;43.1;1.7;
15;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
16;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
17;Compression / Flexure;1.650;1.00;204.3;8.1;Compression / Flexure;1.650;1.00;43.1;38.3;
18;Compression / Flexure;1.575;1.00;204.3;7.7;Compression / Flexure;1.575;1.00;43.1;36.6;
19;Compression / Flexure;0.150;1.00;204.3;0.7;Compression / Flexure;0.150;1.00;43.1;3.5;
20;Compression / Flexure;0.075;1.00;204.3;0.4;Compression / Flexure;0.075;1.00;43.1;1.7;
21;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
22;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
23;Compression / Flexure;1.650;1.00;204.3;8.1;Compression / Flexure;1.650;1.00;43.1;38.3;
24;Compression / Flexure;1.575;1.00;204.3;7.7;Compression / Flexure;1.575;1.00;43.1;36.6;
25;Compression / Flexure;0.150;1.00;204.3;0.7;Compression / Flexure;0.150;1.00;43.1;3.5;
26;Compression / Flexure;0.075;1.00;204.3;0.4;Compression / Flexure;0.075;1.00;43.1;1.7;
27;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
28;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
29;Compression / Flexure;1.650;1.00;204.3;8.1;Compression / Flexure;1.650;1.00;43.1;38.3;
30;Compression / Flexure;1.575;1.00;204.3;7.7;Compression / Flexure;1.575;1.00;43.1;36.6;
31;Compression / Flexure;0.150;1.00;204.3;0.7;Compression / Flexure;0.150;1.00;43.1;3.5;
32;Compression / Flexure;0.075;1.00;204.3;0.4;Compression / Flexure;0.075;1.00;43.1;1.7;
33;Compression / Flexure;4.000;1.80;204.3;35.2;Compression / Flexure;4.000;1.80;43.1;167.2;
34;Compression / Flexure;4.000;1.80;65.7;109.6;Compression / Flexure;4.000;1.80;39.8;180.7;
